Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File
MOTILALOFS,873.0,0.67,6965700.0,0.25,,,,,,,,,127100.0,-83.97,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
PIDILITIND,1651.7,2.2,7937500.0,-0.59,,,,,,,,,896000.0,-83.98,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
NIFTY,24699.0,0.58,11721580.0,-0.53,,,,,,,,,654225.0,-84.07,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
SUPREMEIND,3510.7,-0.23,2287425.0,0.2,,,,,,,,,22925.0,-84.08,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
PRESTIGE,1627.3,2.03,5148000.0,-0.06,,,,,,,,,102150.0,-84.39,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
POWERGRID,284.4,0.71,46386600.0,0.09,,,,,,,,,651700.0,-84.43,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
ICICIBANK,1452.9,0.51,104023500.0,0.11,,,,,,,,,867300.0,-84.71,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
RELIANCE,1300.9,0.27,103600000.0,0.25,,,,,,,,,1004500.0,-84.97,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
MOTHERSON,153.75,2.05,127575600.0,0.38,,,,,,,,,3579300.0,-85.01,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
ULTRACEMCO,12078.0,0.58,1606250.0,0.08,,,,,,,,,12050.0,-85.21,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
IDFCFIRSTB,86.09,0.67,355251050.0,0.0,,,,,,,,,2699025.0,-85.24,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
CUMMINSIND,5576.5,1.2,4071400.0,0.16,,,,,,,,,128000.0,-85.59,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
SBICARD,667.7,0.63,22298400.0,0.15,,,,,,,,,344800.0,-85.63,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
IDEA,12.96,0.7,5888896725.0,-0.05,,,,,,,,,21513975.0,-85.78,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
CGPOWER,887.0,0.53,20120350.0,0.62,,,,,,,,,646000.0,-86.12,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
NAUKRI,1269.2,0.52,13862750.0,0.13,,,,,,,,,124300.0,-86.21,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
CIPLA,1449.3,-0.72,8901625.0,0.12,,,,,,,,,68850.0,-86.24,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
GAIL,176.36,0.01,90947450.0,-0.16,,,,,,,,,2151300.0,-86.32,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
NATIONALUM,382.6,0.76,45328125.0,0.18,,,,,,,,,1880625.0,-86.56,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
SIEMENS,4056.2,0.98,3480575.0,0.71,,,,,,,,,129325.0,-86.6,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
UNOMINDA,1275.0,3.44,4679400.0,0.35,,,,,,,,,344850.0,-86.66,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
BANDHANBNK,174.51,0.73,132530400.0,-0.37,,,,,,,,,1015200.0,-86.78,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
KOTAKBANK,398.15,0.89,173014000.0,0.16,,,,,,,,,1092000.0,-86.78,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
MANKIND,2459.0,0.11,3284000.0,0.21,,,,,,,,,33250.0,-86.82,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
EICHERMOT,7991.5,1.06,3713500.0,0.3,,,,,,,,,46800.0,-86.84,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
POWERINDIA,32625.0,1.01,587825.0,-0.04,,,,,,,,,10375.0,-86.96,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
MAXHEALTH,1072.2,-0.13,9895200.0,0.29,,,,,,,,,103950.0,-87.07,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
