Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason
APOLLOHOSP,8867.5,-0.21,1957375.0,0.9,,,,,,,,,44750.0,-72.01,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,
MIDCPNIFTY,14969.05,0.76,1881960.0,-0.13,,,,,,,,,48360.0,-74.35,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,
SENSEX50,,,,,,,,,,,,,,,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-04.xlsx,0,SELL,
NHPC,81.0,0.53,118400200.0,-0.42,,,,,,,,,8889050.0,-33.97,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,
MCX,2606.2,-2.6,8459325.0,11.55,,,,,,,,,2218500.0,45.97,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,Negative Price Momentum; Fresh OI Buildup
INFY,1174.8,0.88,87078800.0,-0.01,,,,,,,,,1369200.0,-81.89,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,
AXISBANK,1259.3,0.58,80531250.0,0.0,,,,,,,,,836875.0,-81.48,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,
ADANIPORTS,1710.0,0.62,20746575.0,0.2,,,,,,,,,212325.0,-81.41,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,
MARUTI,14135.0,0.62,2056600.0,0.05,,,,,,,,,54400.0,-81.41,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,
HINDALCO,1026.0,0.79,52994900.0,0.01,,,,,,,,,1416800.0,-81.33,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,
INDHOTEL,748.95,0.56,20697000.0,0.23,,,,,,,,,386000.0,-81.03,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,
RECLTD,369.55,0.28,44692200.0,0.02,,,,,,,,,310275.0,-80.5,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,
KAYNES,3925.1,0.89,4046100.0,0.27,,,,,,,,,83700.0,-80.79,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,
INDUSTOWER,392.3,0.51,89482900.0,0.01,,,,,,,,,969000.0,-79.5,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,
GMRAIRPORT,107.4,0.96,130139550.0,0.01,,,,,,,,,1548450.0,-79.56,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,
COFORGE,1762.5,0.73,13391200.0,-0.47,,,,,,,,,264100.0,-80.36,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,
