Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason,Pattern,Pattern_DNA,Pattern_ID,Intraday Probability %,Confidence,Final Bias
POWERGRID,270.15,0.2,54015100.0,0.22,,,,,,,,,503500.0,-97.67,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.2|OI:0.22|VOL:-97.67|FUT:nan,PDNA_B6864B4D,60,MEDIUM,NEUTRAL
JUBLFOOD,473.45,0.69,18780000.0,0.19,,,,,,,,,150000.0,-97.39,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.69|OI:0.19|VOL:-97.39|FUT:nan,PDNA_72FC1316,60,MEDIUM,NEUTRAL
APLAPOLLO,1968.0,0.17,5642700.0,0.24,,,,,,,,,45500.0,-96.86,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.17|OI:0.24|VOL:-96.86|FUT:nan,PDNA_5BB857D8,60,MEDIUM,NEUTRAL
SRF,2640.1,0.03,4672400.0,0.09,,,,,,,,,15400.0,-96.5,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.03|OI:0.09|VOL:-96.5|FUT:nan,PDNA_8049BC4E,60,MEDIUM,NEUTRAL
AUROPHARMA,1594.8,0.15,10766250.0,0.26,,,,,,,,,74800.0,-96.05,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.15|OI:0.26|VOL:-96.05|FUT:nan,PDNA_7728399A,60,MEDIUM,NEUTRAL
TVSMOTOR,4403.8,0.11,8240925.0,0.01,,,,,,,,,32375.0,-96.23,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.11|OI:0.01|VOL:-96.23|FUT:nan,PDNA_C6506B3E,60,MEDIUM,NEUTRAL
BOSCHLTD,42365.0,0.06,211125.0,0.01,,,,,,,,,2475.0,-94.3,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.06|OI:0.01|VOL:-94.3|FUT:nan,PDNA_C8CF21C4,60,MEDIUM,NEUTRAL
TORNTPHARM,5004.5,0.06,3717125.0,0.12,,,,,,,,,12625.0,-95.46,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.06|OI:0.12|VOL:-95.46|FUT:nan,PDNA_47098662,60,MEDIUM,NEUTRAL
TIINDIA,2774.4,0.21,2295200.0,0.03,,,,,,,,,9800.0,-94.11,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.21|OI:0.03|VOL:-94.11|FUT:nan,PDNA_05A37C99,60,MEDIUM,NEUTRAL
HINDALCO,1032.7,0.3,52783500.0,0.08,,,,,,,,,594300.0,-93.67,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.3|OI:0.08|VOL:-93.67|FUT:nan,PDNA_E6273E6B,60,MEDIUM,NEUTRAL
ASTRAL,1445.4,0.06,7041400.0,0.05,,,,,,,,,39525.0,-90.99,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.06|OI:0.05|VOL:-90.99|FUT:nan,PDNA_AB86A076,60,MEDIUM,NEUTRAL
KFINTECH,929.85,0.23,4329175.0,0.08,,,,,,,,,36225.0,-90.86,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.23|OI:0.08|VOL:-90.86|FUT:nan,PDNA_A564EDAF,60,MEDIUM,NEUTRAL
TMPV,345.35,0.14,74249600.0,0.07,,,,,,,,,652800.0,-90.43,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.14|OI:0.07|VOL:-90.43|FUT:nan,PDNA_A8F9E3E2,60,MEDIUM,NEUTRAL
