Symbol,Price,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,OI,OI Chg %,OI Chg %,OI Chg %,OI Chg %,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Volume Chg %,Report_Type,Source_File
AMBUJACEM,435.7,-0.64,-0.64,-0.64,-0.64,-0.64,-0.64,-0.64,-0.64,-0.64,-0.64,-0.64,82960800,0.17,0.17,0.17,0.17,0.17,,,,,,,,,458400,-89.16,-89.16,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
HDFCAMC,"2,551.6",0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,6634500,0.04,0.04,0.04,0.04,0.04,,,,,,,,,34500,-89.34,-89.34,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
TATACONSUM,"1,091.5",-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,15774000,0.02,0.02,0.02,0.02,0.02,,,,,,,,,66550,-89.35,-89.35,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
NATIONALUM,379.05,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,42862500,0.04,0.04,0.04,0.04,0.04,,,,,,,,,656250,-89.37,-89.37,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
MARUTI,13939,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,2096250,-0.15,-0.15,-0.15,-0.15,-0.15,,,,,,,,,27600,-89.74,-89.74,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
RADICO,"4,469.2",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,804000,-0.24,-0.24,-0.24,-0.24,-0.24,,,,,,,,,14400,-89.75,-89.75,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
CDSL,"1,332.8",-0.46,-0.46,-0.46,-0.46,-0.46,-0.46,-0.46,-0.46,-0.46,-0.46,-0.46,10499400,0.38,0.38,0.38,0.38,0.38,,,,,,,,,72200,-89.85,-89.85,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
RECLTD,362,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,44416575,-0.09,-0.09,-0.09,-0.09,-0.09,,,,,,,,,341775,-89.96,-89.96,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
PFC,415.1,-0.42,-0.42,-0.42,-0.42,-0.42,-0.42,-0.42,-0.42,-0.42,-0.42,-0.42,56527900,0.25,0.25,0.25,0.25,0.25,,,,,,,,,419900,-90.07,-90.07,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
PATANJALI,353.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,34925675,0.19,0.19,0.19,0.19,0.19,,,,,,,,,466550,-90.23,-90.23,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
