symbol,outcome_source,outcome_timestamp,outcome_date
MAXHEALTH,approaching_breakouts.csv,2026-08-14 09:20:57.594350000,2026-08-14
BAJAJHLDNG,approaching_breakouts.csv,2026-08-14 09:20:57.594350000,2026-08-14
JUBLFOOD,approaching_breakouts.csv,2026-08-14 09:20:57.594350000,2026-08-14
POWERINDIA,approaching_breakouts.csv,2026-08-14 09:20:57.594350000,2026-08-14
SBICARD,approaching_breakouts.csv,2026-08-14 09:20:57.594350000,2026-08-14
LICI,approaching_breakouts.csv,2026-08-14 09:22:58.103407000,2026-08-14
NHPC,approaching_breakouts.csv,2026-08-14 09:22:58.103407000,2026-08-14
SBILIFE,approaching_breakouts.csv,2026-08-14 09:32:24.410259000,2026-08-14
HINDZINC,approaching_breakouts.csv,2026-08-14 09:33:00.551590000,2026-08-14
APOLLOHOSP,approaching_breakouts.csv,2026-08-14 10:16:02.948403000,2026-08-14
ADANIPORTS,approaching_breakouts.csv,2026-08-14 10:16:02.948403000,2026-08-14
IDEA,approaching_breakouts.csv,2026-08-14 10:16:02.948403000,2026-08-14
ASIANPAINT,approaching_breakouts.csv,2026-08-14 12:03:35.760559000,2026-08-14
RECLTD,approaching_breakouts.csv,2026-08-14 12:03:35.760559000,2026-08-14
PAGEIND,approaching_breakouts.csv,2026-08-14 12:03:35.760559000,2026-08-14
TATAPOWER,approaching_breakouts.csv,2026-08-14 12:03:35.760559000,2026-08-14
NBCC,approaching_breakouts.csv,2026-08-14 12:03:35.760559000,2026-08-14
TECHM,approaching_breakouts.csv,2026-08-14 12:03:35.760559000,2026-08-14
NTPC,approaching_breakouts.csv,2026-08-14 12:03:35.760559000,2026-08-14
UNITDSPR,approaching_breakouts.csv,2026-08-14 12:03:35.760559000,2026-08-14
CAMS,approaching_breakouts.csv,2026-08-14 12:03:35.760559000,2026-08-14
SHREECEM,approaching_breakouts.csv,2026-08-14 12:03:35.760559000,2026-08-14
ADANIENT,approaching_breakouts.csv,2026-08-14 12:03:35.760559000,2026-08-14
VOLTAS,approaching_breakouts.csv,2026-08-17 09:33:23.117520000,2026-08-17
SUNPHARMA,approaching_breakouts.csv,2026-08-17 09:33:23.117520000,2026-08-17
LAURUSLABS,approaching_breakouts.csv,2026-08-17 09:33:23.117520000,2026-08-17
TCS,approaching_breakouts.csv,2026-08-17 09:33:23.117520000,2026-08-17
BSE,approaching_breakouts.csv,2026-08-17 09:33:23.117520000,2026-08-17
APLAPOLLO,approaching_breakouts.csv,2026-08-17 09:33:23.117520000,2026-08-17
MOTILALOFS,approaching_breakouts.csv,2026-08-17 09:38:11.330481000,2026-08-17
PAGEIND,approaching_breakouts.csv,2026-08-17 09:38:11.330481000,2026-08-17
NMDC,approaching_breakouts.csv,2026-08-17 09:38:11.330481000,2026-08-17
ALKEM,approaching_breakouts.csv,2026-08-17 09:53:40.769637000,2026-08-17
HYUNDAI,approaching_breakouts.csv,2026-08-18 09:20:08.956457000,2026-08-18
KPITTECH,approaching_breakouts.csv,2026-08-18 09:20:08.956457000,2026-08-18
OBEROIRLTY,approaching_breakouts.csv,2026-08-18 09:25:16.356163000,2026-08-18
ANGELONE,approaching_breakouts.csv,2026-08-18 09:25:16.356163000,2026-08-18
KFINTECH,approaching_breakouts.csv,2026-08-18 09:25:16.356163000,2026-08-18
TIINDIA,approaching_breakouts.csv,2026-08-18 09:25:16.356163000,2026-08-18
BSE,approaching_breakouts.csv,2026-08-18 09:25:16.356163000,2026-08-18
SBICARD,approaching_breakouts.csv,2026-08-18 09:25:16.356163000,2026-08-18
PHOENIXLTD,approaching_breakouts.csv,2026-08-18 09:25:16.356163000,2026-08-18
COLPAL,approaching_breakouts.csv,2026-08-18 09:30:23.662454000,2026-08-18
DLF,approaching_breakouts.csv,2026-08-18 09:30:23.662454000,2026-08-18
SOLARINDS,approaching_breakouts.csv,2026-08-18 09:30:23.662454000,2026-08-18
SONACOMS,approaching_breakouts.csv,2026-08-18 09:30:23.662454000,2026-08-18
BHARTIARTL,approaching_breakouts.csv,2026-08-18 09:35:36.188907000,2026-08-18
PRESTIGE,approaching_breakouts.csv,2026-08-18 09:35:36.188907000,2026-08-18
GODREJPROP,approaching_breakouts.csv,2026-08-18 09:35:36.188907000,2026-08-18
WIPRO,approaching_breakouts.csv,2026-08-18 09:35:36.188907000,2026-08-18
LODHA,approaching_breakouts.csv,2026-08-18 09:35:36.188907000,2026-08-18
INDUSTOWER,approaching_breakouts.csv,2026-08-18 09:35:36.188907000,2026-08-18
INOXWIND,approaching_breakouts.csv,2026-08-18 10:11:23.148884000,2026-08-18
BAJAJHLDNG,approaching_breakouts.csv,2026-08-18 10:11:23.148884000,2026-08-18
BIOCON,approaching_breakouts.csv,2026-08-18 10:11:23.148884000,2026-08-18
CDSL,approaching_breakouts.csv,2026-08-18 10:11:23.148884000,2026-08-18
NAM-INDIA,approaching_breakouts.csv,2026-08-18 10:11:23.148884000,2026-08-18
MPHASIS,approaching_breakouts.csv,2026-08-18 10:11:23.148884000,2026-08-18
NIFTY,approaching_breakouts.csv,2026-08-18 10:11:23.148884000,2026-08-18
BOSCHLTD,approaching_breakouts.csv,2026-08-18 10:47:14.771910000,2026-08-18
ADANIENSOL,approaching_breakouts.csv,2026-08-18 10:47:14.771910000,2026-08-18
COCHINSHIP,approaching_breakouts.csv,2026-08-18 10:47:14.771910000,2026-08-18
ALKEM,approaching_breakouts.csv,2026-08-18 10:47:14.771910000,2026-08-18
MOTILALOFS,approaching_breakouts.csv,2026-08-18 10:47:14.771910000,2026-08-18
NMDC,approaching_breakouts.csv,2026-08-18 10:47:14.771910000,2026-08-18
LTF,approaching_breakouts.csv,2026-08-19 09:20:08.642909000,2026-08-19
SUPREMEIND,approaching_breakouts.csv,2026-08-19 09:20:08.642909000,2026-08-19
SUNPHARMA,approaching_breakouts.csv,2026-08-19 09:20:08.642909000,2026-08-19
BRITANNIA,approaching_breakouts.csv,2026-08-19 09:25:17.651121000,2026-08-19
PHOENIXLTD,approaching_breakouts.csv,2026-08-19 09:25:17.651121000,2026-08-19
UNOMINDA,approaching_breakouts.csv,2026-08-19 09:25:17.651121000,2026-08-19
ETERNAL,approaching_breakouts.csv,2026-08-19 09:25:17.651121000,2026-08-19
CGPOWER,approaching_breakouts.csv,2026-08-19 09:25:17.651121000,2026-08-19
KEI,approaching_breakouts.csv,2026-08-19 09:25:17.651121000,2026-08-19
COALINDIA,approaching_breakouts.csv,2026-08-19 09:25:17.651121000,2026-08-19
SHREECEM,approaching_breakouts.csv,2026-08-19 09:25:17.651121000,2026-08-19
FORTIS,approaching_breakouts.csv,2026-08-19 09:25:17.651121000,2026-08-19
AMBER,approaching_breakouts.csv,2026-08-19 09:30:25.536416000,2026-08-19
ICICIPRULI,approaching_breakouts.csv,2026-08-19 09:30:25.536416000,2026-08-19
POWERINDIA,approaching_breakouts.csv,2026-08-19 09:30:25.536416000,2026-08-19
GODREJPROP,approaching_breakouts.csv,2026-08-19 09:30:25.536416000,2026-08-19
DLF,approaching_breakouts.csv,2026-08-19 09:30:25.536416000,2026-08-19
POLICYBZR,approaching_breakouts.csv,2026-08-19 09:30:25.536416000,2026-08-19
PAGEIND,approaching_breakouts.csv,2026-08-19 09:30:25.536416000,2026-08-19
COCHINSHIP,approaching_breakouts.csv,2026-08-19 09:30:25.536416000,2026-08-19
BHEL,approaching_breakouts.csv,2026-08-19 09:30:25.536416000,2026-08-19
GLENMARK,approaching_breakouts.csv,2026-08-19 09:40:47.003936000,2026-08-19
BDL,approaching_breakouts.csv,2026-08-19 09:40:47.003936000,2026-08-19
ADANIGREEN,approaching_breakouts.csv,2026-08-19 09:40:47.003936000,2026-08-19
BEL,approaching_breakouts.csv,2026-08-19 09:40:47.003936000,2026-08-19
ADANIENSOL,approaching_breakouts.csv,2026-08-19 09:40:47.003936000,2026-08-19
ABB,approaching_breakouts.csv,2026-08-19 09:40:47.003936000,2026-08-19
ABCAPITAL,approaching_breakouts.csv,2026-08-19 09:40:47.003936000,2026-08-19
IEX,approaching_breakouts.csv,2026-08-19 09:40:47.003936000,2026-08-19
LODHA,approaching_breakouts.csv,2026-08-19 09:40:47.003936000,2026-08-19
GVT&D,approaching_breakouts.csv,2026-08-19 09:56:11.666385000,2026-08-19
PETRONET,approaching_breakouts.csv,2026-08-19 09:56:11.666385000,2026-08-19
PAYTM,approaching_breakouts.csv,2026-08-19 10:32:16.348560000,2026-08-19
POWERGRID,approaching_breakouts.csv,2026-08-19 10:32:16.348560000,2026-08-19
JINDALSTEL,approaching_breakouts.csv,2026-08-19 10:32:16.348560000,2026-08-19
TATAPOWER,approaching_breakouts.csv,2026-08-19 10:32:16.348560000,2026-08-19
TCS,approaching_breakouts.csv,2026-08-19 10:32:16.348560000,2026-08-19
VOLTAS,approaching_breakouts.csv,2026-08-19 10:32:16.348560000,2026-08-19
KPITTECH,approaching_breakouts.csv,2026-08-19 10:32:16.348560000,2026-08-19
SAIL,approaching_breakouts.csv,2026-08-19 10:32:16.348560000,2026-08-19
HEROMOTOCO,approaching_breakouts.csv,2026-08-19 10:32:16.348560000,2026-08-19
KAYNES,approaching_breakouts.csv,2026-08-19 10:32:16.348560000,2026-08-19
FORCEMOT,approaching_breakouts.csv,2026-08-19 10:32:16.348560000,2026-08-19
SOLARINDS,approaching_breakouts.csv,2026-08-19 10:32:16.348560000,2026-08-19
MCX,approaching_breakouts.csv,2026-08-19 10:42:33.810569000,2026-08-19
GRASIM,approaching_breakouts.csv,2026-08-19 10:42:33.810569000,2026-08-19
ADANIPORTS,approaching_breakouts.csv,2026-08-19 10:42:33.810569000,2026-08-19
SENSEX,approaching_breakouts.csv,2026-08-19 10:42:33.810569000,2026-08-19
MFSL,approaching_breakouts.csv,2026-08-19 10:42:33.810569000,2026-08-19
UPL,approaching_breakouts.csv,2026-08-19 11:28:50.906457000,2026-08-19
MPHASIS,approaching_breakouts.csv,2026-08-19 11:28:50.906457000,2026-08-19
SRF,approaching_breakouts.csv,2026-08-19 11:28:50.906457000,2026-08-19
JSWENERGY,approaching_breakouts.csv,2026-08-19 11:28:50.906457000,2026-08-19
HYUNDAI,approaching_breakouts.csv,2026-08-19 11:28:50.906457000,2026-08-19
BSE,approaching_breakouts.csv,2026-08-19 11:28:50.906457000,2026-08-19
ICICIBANK,approaching_breakouts.csv,2026-08-19 13:12:07.298214000,2026-08-19
HINDZINC,approaching_breakouts.csv,2026-08-19 13:12:07.298214000,2026-08-19
COLPAL,approaching_breakouts.csv,2026-08-19 13:12:07.298214000,2026-08-19
360ONE,approaching_breakouts.csv,2026-08-19 13:12:07.298214000,2026-08-19
APOLLOHOSP,approaching_breakouts.csv,2026-08-19 13:12:07.298214000,2026-08-19
NYKAA,approaching_breakouts.csv,2026-08-19 13:12:07.298214000,2026-08-19
AXISBANK,approaching_breakouts.csv,2026-08-19 13:12:07.298214000,2026-08-19
BHARATFORG,approaching_breakouts.csv,2026-08-19 13:12:07.298214000,2026-08-19
SENSEX,approaching_breakouts.csv,2026-08-20 09:20:09.579250000,2026-08-20
MUTHOOTFIN,approaching_breakouts.csv,2026-08-20 09:20:09.579250000,2026-08-20
BAJFINANCE,approaching_breakouts.csv,2026-08-20 09:20:09.579250000,2026-08-20
DMART,approaching_breakouts.csv,2026-08-20 09:20:09.579250000,2026-08-20
GVT&D,approaching_breakouts.csv,2026-08-20 09:20:09.579250000,2026-08-20
POWERINDIA,approaching_breakouts.csv,2026-08-20 09:20:09.579250000,2026-08-20
INDIGO,approaching_breakouts.csv,2026-08-20 09:20:09.579250000,2026-08-20
IEX,approaching_breakouts.csv,2026-08-20 09:20:09.579250000,2026-08-20
UNITDSPR,approaching_breakouts.csv,2026-08-20 09:20:09.579250000,2026-08-20
LTM,approaching_breakouts.csv,2026-08-20 09:20:09.579250000,2026-08-20
MOTILALOFS,approaching_breakouts.csv,2026-08-20 09:56:11.955507000,2026-08-20
BANDHANBNK,approaching_breakouts.csv,2026-08-20 09:56:11.955507000,2026-08-20
FOCIT,approaching_breakouts.csv,2026-08-20 09:56:11.955507000,2026-08-20
ONGC,approaching_breakouts.csv,2026-08-20 09:56:11.955507000,2026-08-20
OIL,approaching_breakouts.csv,2026-08-20 09:56:11.955507000,2026-08-20
SBICARD,approaching_breakouts.csv,2026-08-20 09:56:11.955507000,2026-08-20
PFC,approaching_breakouts.csv,2026-08-20 09:56:11.955507000,2026-08-20
AXISBANK,approaching_breakouts.csv,2026-08-20 09:56:11.955507000,2026-08-20
