Symbol,Price,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,OI,OI Chg %,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Volume Chg %,Report_Type,Source_File
MOTILALOFS,853,1.37,1.37,1.37,1.37,1.37,6883550,-0.21,-0.21,,,,,,,,,37200,-96.52,-96.52,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
UNIONBANK,171.75,0.23,0.23,0.23,0.23,0.23,119147550,0.03,0.03,,,,,,,,,500025,-96.5,-96.5,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
BSE,"3,545.9",0.2,0.2,0.2,0.2,0.2,8195000,0.13,0.13,,,,,,,,,37000,-96.49,-96.49,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
AMBER,"7,485.5",0.67,0.67,0.67,0.67,0.67,1242200,-0.08,-0.08,,,,,,,,,8600,-96.47,-96.47,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
GMRAIRPORT,104.84,0.59,0.59,0.59,0.59,0.59,127182150,0.12,0.12,,,,,,,,,648675,-96.41,-96.41,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
HAVELLS,"1,268.6",0.18,0.18,0.18,0.18,0.18,9515500,0.31,0.31,,,,,,,,,52000,-96.37,-96.37,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
RBLBANK,381.55,0.91,0.91,0.91,0.91,0.91,46501050,0.02,0.02,,,,,,,,,1006475,-96.32,-96.32,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
PETRONET,279.4,-0.36,-0.36,-0.36,-0.36,-0.36,31811700,0.01,0.01,,,,,,,,,83600,-96.17,-96.17,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
UNITDSPR,"1,530.9",-0.26,-0.26,-0.26,-0.26,-0.26,8005200,0.35,0.35,,,,,,,,,44800,-96.14,-96.14,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
AUROPHARMA,"1,586.1",0.48,0.48,0.48,0.48,0.48,9862050,0.08,0.08,,,,,,,,,33000,-96.13,-96.13,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
