Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason,Pattern,Pattern_DNA,Pattern_ID
BHEL,412.0,1.69,80332875.0,-0.25,,,,,,,,,1165500.0,-80.12,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Short Covering,PAT:Short Covering|SCR:|P:1.69|OI:-0.25|VOL:-80.12|FUT:nan,PDNA_E5CC8C0C
NATIONALUM,356.3,1.83,45271875.0,0.08,,,,,,,,,1473750.0,-81.01,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:1.83|OI:0.08|VOL:-81.01|FUT:nan,PDNA_B81184AC
BAJFINANCE,1098.0,3.76,68487000.0,1.72,,,,,,,,,7505250.0,-48.68,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:3.76|OI:1.72|VOL:-48.68|FUT:nan,PDNA_F76649ED
SUZLON,47.68,0.4,458952600.0,0.07,,,,,,,,,1231900.0,-97.76,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.4|OI:0.07|VOL:-97.76|FUT:nan,PDNA_1BB9A362
INDUSTOWER,393.8,-0.34,92514000.0,-0.05,,,,,,,,,239700.0,-97.69,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,,Long Unwinding,PAT:Long Unwinding|SCR:|P:-0.34|OI:-0.05|VOL:-97.69|FUT:nan,PDNA_2DCCC135
DIXON,14189.0,0.28,2278400.0,0.1,,,,,,,,,10800.0,-97.48,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.28|OI:0.1|VOL:-97.48|FUT:nan,PDNA_14D5D258
SBICARD,653.85,0.06,22078400.0,0.07,,,,,,,,,57600.0,-97.48,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.06|OI:0.07|VOL:-97.48|FUT:nan,PDNA_C53080E2
BPCL,318.0,0.16,40128050.0,0.12,,,,,,,,,112575.0,-97.34,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.16|OI:0.12|VOL:-97.34|FUT:nan,PDNA_3357810D
ALKEM,5834.5,0.13,1383125.0,0.09,,,,,,,,,8375.0,-97.38,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.13|OI:0.09|VOL:-97.38|FUT:nan,PDNA_7D847550
IRFC,88.66,-0.06,85177925.0,0.4,,,,,,,,,553350.0,-97.25,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,,Short Buildup,PAT:Short Buildup|SCR:|P:-0.06|OI:0.4|VOL:-97.25|FUT:nan,PDNA_CF86C460
ICICIGI,1644.9,-0.12,5076500.0,-0.02,,,,,,,,,7800.0,-97.23,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,,Long Unwinding,PAT:Long Unwinding|SCR:|P:-0.12|OI:-0.02|VOL:-97.23|FUT:nan,PDNA_66195A7B
MIDCPNIFTY,14712.0,0.05,1867440.0,0.1,,,,,,,,,5640.0,-97.23,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.05|OI:0.1|VOL:-97.23|FUT:nan,PDNA_AA60C721
