Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason
TIINDIA,2724.8,0.81,2119200.0,0.09,,,,,,,,,8800.0,-98.37,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
DELHIVERY,470.9,0.33,22874800.0,0.01,,,,,,,,,47725.0,-98.36,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
FORCEMOT,17839.0,0.82,277125.0,-0.07,,,,,,,,,2475.0,-98.31,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
BIOCON,427.5,0.12,47272500.0,0.04,,,,,,,,,67500.0,-99.23,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
VBL,450.0,-0.44,52612875.0,0.01,,,,,,,,,47175.0,-99.2,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
PREMIERENE,987.3,0.07,7824700.0,0.18,,,,,,,,,26000.0,-99.17,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
CDSL,1345.4,0.29,9639175.0,0.1,,,,,,,,,35625.0,-96.09,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
BRITANNIA,5424.5,-0.41,2034375.0,0.06,,,,,,,,,9250.0,-96.13,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
AUROPHARMA,1586.1,0.48,9862050.0,0.08,,,,,,,,,33000.0,-96.13,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
UNITDSPR,1530.9,-0.26,8005200.0,0.35,,,,,,,,,44800.0,-96.14,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
PETRONET,279.4,-0.36,31811700.0,0.01,,,,,,,,,83600.0,-96.17,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
RBLBANK,381.55,0.91,46501050.0,0.02,,,,,,,,,1006475.0,-96.32,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
HAVELLS,1268.6,0.18,9515500.0,0.31,,,,,,,,,52000.0,-96.37,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
GMRAIRPORT,104.84,0.59,127182150.0,0.12,,,,,,,,,648675.0,-96.41,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
AMBER,7485.5,0.67,1242200.0,-0.08,,,,,,,,,8600.0,-96.47,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
BSE,3545.9,0.2,8195000.0,0.13,,,,,,,,,37000.0,-96.49,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
UNIONBANK,171.75,0.23,119147550.0,0.03,,,,,,,,,500025.0,-96.5,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
MARICO,885.95,-0.24,14490000.0,0.09,,,,,,,,,96000.0,-96.55,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
UNOMINDA,1182.5,0.31,4414300.0,0.04,,,,,,,,,23100.0,-96.61,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
SRF,2625.0,0.19,4455000.0,0.09,,,,,,,,,11000.0,-96.57,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
PAYTM,1344.9,0.64,19348075.0,0.04,,,,,,,,,118175.0,-96.61,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
BANDHANBNK,173.46,0.71,131418000.0,0.02,,,,,,,,,316800.0,-96.65,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
IDEA,13.03,0.62,5881105950.0,0.03,,,,,,,,,6075375.0,-96.77,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
HINDPETRO,390.8,0.04,43509150.0,0.11,,,,,,,,,188325.0,-96.68,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
BOSCHLTD,41555.0,0.28,204625.0,0.06,,,,,,,,,750.0,-96.68,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
HDFCLIFE,548.6,0.03,43164000.0,0.14,,,,,,,,,167200.0,-96.69,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
GODREJCP,1068.0,-0.51,10410000.0,0.06,,,,,,,,,19000.0,-96.71,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
KPITTECH,573.95,-1.79,14187150.0,0.35,,,,,,,,,399125.0,-96.74,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,Negative Price Momentum
OBEROIRLTY,1827.4,0.46,5476800.0,-0.01,,,,,,,,,11550.0,-96.75,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
ITC,285.65,-0.19,156864600.0,0.04,,,,,,,,,376050.0,-96.76,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
APLAPOLLO,1888.6,-0.2,4434150.0,0.06,,,,,,,,,12250.0,-96.92,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
ADANIGREEN,1370.0,0.26,26359800.0,-0.02,,,,,,,,,43800.0,-96.8,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
FORTIS,956.35,0.29,9007050.0,-0.04,,,,,,,,,18600.0,-96.81,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
AUBANK,1041.1,0.62,21657000.0,0.07,,,,,,,,,83000.0,-96.88,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
VOLTAS,1347.6,0.77,7275375.0,0.21,,,,,,,,,30375.0,-96.96,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
GODREJPROP,2115.0,-0.09,7378475.0,0.1,,,,,,,,,25675.0,-96.95,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
KALYANKJIL,635.85,-0.18,25004700.0,0.35,,,,,,,,,294300.0,-97.01,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
BDL,1229.0,0.66,7329975.0,-0.02,,,,,,,,,25925.0,-97.06,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
NAM-INDIA,1148.3,0.44,7059375.0,0.0,,,,,,,,,7500.0,-98.01,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
SONACOMS,765.2,-0.03,10587675.0,-0.32,,,,,,,,,213150.0,-97.09,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
MCX,2693.0,0.22,7147125.0,0.23,,,,,,,,,50400.0,-94.99,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
JSWSTEEL,1284.7,0.58,39265425.0,0.03,,,,,,,,,67500.0,-95.02,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
YESBANK,22.63,0.13,1194582100.0,0.03,,,,,,,,,3576500.0,-95.16,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
SBILIFE,1890.8,0.49,6473250.0,0.23,,,,,,,,,27750.0,-95.25,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
ADANIENT,3060.0,0.04,15792063.0,-0.14,,,,,,,,,74160.0,-95.03,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
ZYDUSLIFE,1130.5,0.78,9792000.0,0.05,,,,,,,,,27900.0,-95.09,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
JUBLFOOD,437.2,-0.73,17166250.0,0.1,,,,,,,,,92500.0,-95.77,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
BANKBARODA,244.1,0.43,128863800.0,0.02,,,,,,,,,374400.0,-96.08,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
NESTLEIND,1524.0,0.0,8897500.0,0.38,,,,,,,,,73500.0,-96.01,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
ULTRACEMCO,11917.0,0.33,1706800.0,0.01,,,,,,,,,7050.0,-96.02,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
BHARTIARTL,1965.9,0.21,56177775.0,0.0,,,,,,,,,128250.0,-95.92,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
RECLTD,371.25,0.15,43819650.0,0.01,,,,,,,,,154350.0,-95.87,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
HEROMOTOCO,5361.8,0.12,4762800.0,0.35,,,,,,,,,66600.0,-95.81,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
POLICYBZR,1605.8,0.48,9264850.0,0.01,,,,,,,,,19600.0,-95.93,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
NTPC,347.75,0.52,99562500.0,-0.05,,,,,,,,,189000.0,-95.52,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
