Symbol,ATM Straddle %,Open,High,Low,Close,Price Chg,Price Chg %,IV Chg,IV Chg %,OI Chg,OI Chg %,PCR Chg,PCR Chg %,Tot CE OI Chg,Tot CE OI Chg %,Tot PE OI Chg,Tot PE OI Chg %,Tot PE-CE OI Chg,Report_Type,Source_File,Price,Price Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,PCR,Strike,Call OI,Call OI Chg,Put OI,Put OI Chg,Dist. From Strike %,Fut Buildup,Sector Name,Adv/ Dec/ Unchg,Price Chg %,Volume Chg %,OI Chg %,Rollover (%),Buildup,Tol CE OI Chg,Tol PE OI Chg,Tol PE-CE OI Chg,Tol PE-CE OI Chg %,Price chg,OI,OI chg,OI Chg (Value),Volume,Volume Chg %
MANAPPURAM,,,,,,-4.3,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,358.1,-1.19,15381.0,60.0,0.39,0.49,360.0,648.0,11.0,174.0,4.0,-0.53,SB,,,,,,,,,,,,,,,,,
ULTRACEMCO,,,,,,12.0,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,11937.0,0.1,30978.0,104.0,0.34,0.53,12000.0,1255.0,2.0,532.0,21.0,-0.53,LB,,,,,,,,,,,,,,,,,
SUNPHARMA,,,,,,6.4,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,1986.0,0.32,37875.0,119.0,0.32,0.84,2000.0,1889.0,20.0,616.0,-74.0,-0.7,LB,,,,,,,,,,,,,,,,,
ADANIGREEN,,,,,,-18.3,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,1390.0,-1.3,37557.0,678.0,1.84,0.49,1400.0,2334.0,57.0,1185.0,5.0,-0.71,SB,,,,,,,,,,,,,,,,,
RBLBANK,,,,,,3.2,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,367.1,0.88,12455.0,203.0,1.66,0.83,370.0,330.0,-4.0,123.0,2.0,-0.78,LB,,,,,,,,,,,,,,,,,
HEROMOTOCO,,,,,,16.5,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,5156.3,0.32,29671.0,136.0,0.46,0.67,5200.0,1137.0,33.0,416.0,45.0,-0.84,LB,,,,,,,,,,,,,,,,,
SHREECEM,,,,,,5.0,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,26740.0,0.02,11781.0,2.0,0.02,0.95,27000.0,83.0,-1.0,101.0,0.0,-0.96,LB,,,,,,,,,,,,,,,,,
FINNIFTY,,,,,,-58.9,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,26243.0,-0.22,276.0,-1.0,-0.36,1.28,26500.0,101.0,0.0,0.0,,-0.97,LU,,,,,,,,,,,,,,,,,
TCS,,,,,,69.2,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,2376.0,3.0,148567.0,1844.0,1.26,1.14,2400.0,3485.0,205.0,1522.0,302.0,-1.0,LB,,,,,,,,,,,,,,,,,
COLPAL,,,,,,28.9,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,2177.7,1.34,13912.0,35.0,0.25,0.63,2200.0,650.0,-71.0,0.0,,-1.01,LB,,,,,,,,,,,,,,,,,
SBILIFE,,,,,,8.3,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,1880.8,0.44,17635.0,156.0,0.89,0.73,1900.0,581.0,-1.0,51.0,-13.0,-1.01,LB,,,,,,,,,,,,,,,,,
WIPRO,,,,,,2.86,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,178.15,1.63,92237.0,-482.0,-0.52,0.78,180.0,3011.0,-25.0,1413.0,58.0,-1.03,SC,,,,,,,,,,,,,,,,,
ICICIBANK,,,,,,-4.8,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,1434.7,-0.33,142037.0,816.0,0.58,0.7,1450.0,2895.0,99.0,1174.0,12.0,-1.06,SB,,,,,,,,,,,,,,,,,
TMPV,,,,,,-3.25,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,326.4,-0.99,39170.0,1119.0,2.94,0.91,330.0,1459.0,116.0,1044.0,14.0,-1.09,SB,,,,,,,,,,,,,,,,,
HYUNDAI,,,,,,-2.2,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,1977.2,-0.11,13604.0,46.0,0.34,0.65,2000.0,1727.0,25.0,405.0,14.0,-1.14,SB,,,,,,,,,,,,,,,,,
