Symbol,ATM Straddle %,Open,High,Low,Close,Price Chg,Price Chg %,IV Chg,IV Chg %,OI Chg,OI Chg %,PCR Chg,PCR Chg %,Tot CE OI Chg,Tot CE OI Chg %,Tot PE OI Chg,Tot PE OI Chg %,Tot PE-CE OI Chg,Report_Type,Source_File,Exported data,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Price,Price Chg%,Fut OI,Fut OI Chg,Fut OI Chg %,PCR,Strike,Call OI,Call OI Chg,Put OI,Put OI Chg,Dist. From Strike %,Fut Buildup,Sector Name,Adv/ Dec/ Unchg,Price chg (%),Volume chg (%),OI chg (%),Rollover (%),Buildup,Tol CE OI Chg,Tol PE OI Chg,Tol PE-CE OI Chg,Tol PE-CE OI Chg %,Price chg,OI,OI chg,OI Chg (Value),Volume,Volume Chg (%)
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,BHEL,408.5,-10.4,-2.48,72809625,716625,0.99,0.53,34.88,4.46,19.15 - 54.97,44.73 / 46.85 / 43.40,43.91,66.26,-22.02,-25.55,-19.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,BIOCON,437.85,-1.3,-0.3,42180000,335000,0.8,0.8,30.96,7.02,15.85 - 43.30,41.37 / 41.96 / 35.15,50.89,67.07,-25.16,-26.22,-11.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,BLUESTARCO,1626.1,-12.8,-0.78,3006900,5200,0.17,1.02,31.82,-7.2,13.03 - 50.57,31.11 / 33.69 / 33.56,50.05,63.01,2.28,-5.55,-5.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,BOSCHLTD,40960,-290,-0.7,191550,375,0.2,0.93,28.9,-2.69,10.01 - 46.12,19.81 / 20.77 / 19.06,52.31,73.17,45.89,39.14,51.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,BPCL,320.65,2.05,0.64,36326175,124425,0.34,0.83,27.82,1.02,15.82 - 56.01,22.68 / 26.09 / 30.63,29.88,47.97,22.66,6.63,-9.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,BRITANNIA,5377.5,52.5,0.99,1929875,-375,-0.02,0.94,25.4,2.75,12.58 - 34.32,20.00 / 22.91 / 21.66,58.97,81.3,27,10.87,17.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,BSE,3536.4,-24.2,-0.68,6452600,84400,1.33,0.88,37.32,2.58,19.55 - 61.04,24.25 / 28.95 / 29.63,42.11,41.87,53.9,28.91,25.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,CAMS,787.4,-0.8,-0.1,5708175,31350,0.55,0.68,33.13,-4.85,17.15 - 80.12,35.06 / 35.05 / 34.50,25.38,85.77,-5.5,-5.48,-3.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,CANBK,126.25,-2.08,-1.62,364945500,4137750,1.15,0.64,30.12,1.62,15.88 - 49.71,30.03 / 32.13 / 30.98,41.24,57.32,0.3,-6.26,-2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,CDSL,1333.5,1.8,0.14,7837975,173850,2.27,0.9,32.69,1.74,18.00 - 52.52,22.70 / 40.86 / 40.44,42.56,69.11,44.01,-20,-19.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
