Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason,Pattern,Intraday Probability %,Confidence,Final Bias,Validation Signal,Risk Level,Entry Price,Stop Loss,Target,Replay Eligible,Filter Reason,High,Low,Close,Outcome,Outcome Reason,Exit Price,Points,Return %
BHEL,408.5,-2.48,72809625.0,0.99,,,,,,,,,1832250.0,-93.95,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,408.5,416.67,392.16,True,Eligible,414.7,402.8,405.3,EOD EXIT,Neither target nor stop reached; exited at close,405.3,3.1999999999999886,0.7833537331701319
ADANIPOWER,211.35,-1.84,129344250.0,1.7,,,,,,,,,3003300.0,-93.99,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,211.35,215.577,202.896,True,Eligible,214.69,207.31,208.12,EOD EXIT,Neither target nor stop reached; exited at close,208.12,3.2299999999999898,1.5282706411166265
SENSEX,77241.2,-0.15,23220.0,1.84,,,,,,,,,1000.0,-88.01,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,77241.2,78786.024,74151.552,True,Eligible,77240.0,76781.1,76980.0,EOD EXIT,Neither target nor stop reached; exited at close,76980.0,261.1999999999971,0.3381614993034768
NATIONALUM,336.45,-1.41,37018125.0,4.68,,,,,,,,,1942500.0,-83.64,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,Negative Price Momentum; Fresh OI Buildup,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,336.45,343.179,322.992,True,Eligible,340.0,332.95,334.6,EOD EXIT,Neither target nor stop reached; exited at close,334.6,1.849999999999966,0.5498588200326842
BEL,393.85,-3.55,83034750.0,6.11,,,,,,,,,9100050.0,-68.8,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,Negative Price Momentum; Fresh OI Buildup,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,393.85,401.727,378.096,True,Eligible,405.6,386.25,388.35,STOP LOSS HIT,Stop loss breached during replay range,401.727,-7.876999999999953,-1.999999999999988
NTPC,349.15,-0.71,90846000.0,3.1,,,,,,,,,3432000.0,-92.94,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,20,SELL,Fresh OI Buildup,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,349.15,356.133,335.184,True,Eligible,349.9,340.75,343.0,EOD EXIT,Neither target nor stop reached; exited at close,343.0,6.149999999999977,1.7614205928683884
NIFTY,24084.1,-0.07,10312965.0,1.14,,,,,,,,,401115.0,-88.24,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,24084.1,24565.782,23120.736,True,Eligible,24040.0,23947.6,23973.4,EOD EXIT,Neither target nor stop reached; exited at close,23973.4,110.69999999999709,0.45963934712111765
COALINDIA,412.0,-3.25,61412850.0,2.81,,,,,,,,,3782700.0,-85.84,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,Negative Price Momentum; Fresh OI Buildup,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,412.0,420.24,395.52,True,Eligible,422.9,407.35,410.75,STOP LOSS HIT,Stop loss breached during replay range,420.24,-8.240000000000009,-2.000000000000002
ABB,7234.5,-1.38,1944250.0,1.67,,,,,,,,,112375.0,-88.16,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,7234.5,7379.19,6945.12,True,Eligible,7343.0,7188.0,7248.0,EOD EXIT,Neither target nor stop reached; exited at close,7248.0,-13.5,-0.18660584698320545
HINDALCO,942.25,-0.97,45892000.0,0.91,,,,,,,,,832300.0,-91.57,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,942.25,961.095,904.56,True,Eligible,948.5,934.7,937.95,EOD EXIT,Neither target nor stop reached; exited at close,937.95,4.2999999999999545,0.4563544706818736
ADANIENSOL,1678.8,-1.88,17415000.0,1.7,,,,,,,,,691200.0,-90.06,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,1678.8,1712.376,1611.648,True,Eligible,1692.2,1633.6,1647.2,EOD EXIT,Neither target nor stop reached; exited at close,1647.2,31.59999999999991,1.882296878722892
