Symbol,Price,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,OI,OI Chg %,OI Chg %,OI Chg %,OI Chg %,OI Chg %,PCR,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Volume Chg %,Report_Type,Source_File
SUZLON,49.27,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,456234800,0.06,0.06,0.06,0.06,0.06,,,,,,3835400,-89.07,-89.07,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
IRFC,90.03,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,86490775,0.43,0.43,0.43,0.43,0.43,,,,,,1209775,-89.11,-89.11,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
TATACONSUM,"1,094.1",-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,15703050,0.16,0.16,0.16,0.16,0.16,,,,,,108900,-89.12,-89.12,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
TRENT,3082,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,10647900,-0.13,-0.13,-0.13,-0.13,-0.13,,,,,,69975,-89.16,-89.16,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
ADANIGREEN,"1,410.4",0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,26577000,-0.25,-0.25,-0.25,-0.25,-0.25,,,,,,306000,-89.21,-89.21,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
BHARATFORG,"2,198.1",-0.41,-0.41,-0.41,-0.41,-0.41,-0.41,-0.41,-0.41,-0.41,-0.41,7628000,0.26,0.26,0.26,0.26,0.26,,,,,,78500,-89.31,-89.31,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
BEL,392.65,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,103259775,0.02,0.02,0.02,0.02,0.02,,,,,,645525,-89.35,-89.35,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
MOTHERSON,155.66,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,125004900,0.4,0.4,0.4,0.4,0.4,,,,,,2054100,-89.41,-89.41,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
BRITANNIA,"5,471.5",-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,1916125,0.39,0.39,0.39,0.39,0.39,,,,,,19000,-89.49,-89.49,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
TITAN,"4,889.3",-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,5346775,0.36,0.36,0.36,0.36,0.36,,,,,,47250,-89.49,-89.49,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
