Symbol,Price,Price Chg %,OI,OI Chg %,PCR,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason,Pattern,Pattern_DNA,Pattern_ID
CIPLA,1462.1,0.08,8965375.0,0.05,,,,,,38250.0,-95.75,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.08|OI:0.05|VOL:-95.75|FUT:nan,PDNA_A53542C9
ABCAPITAL,424.2,0.66,37150400.0,0.52,,,,,,871100.0,-95.88,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.66|OI:0.52|VOL:-95.88|FUT:nan,PDNA_F930587D
ASHOKLEY,174.48,-0.38,144635000.0,0.22,,,,,,1975000.0,-95.89,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Short Buildup,PAT:Short Buildup|SCR:|P:-0.38|OI:0.22|VOL:-95.89|FUT:nan,PDNA_6C7FF8B4
COALINDIA,417.35,0.57,79035750.0,-0.02,,,,,,274050.0,-95.93,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Short Covering,PAT:Short Covering|SCR:|P:0.57|OI:-0.02|VOL:-95.93|FUT:nan,PDNA_9AA072AD
KFINTECH,931.85,-0.27,3926100.0,0.29,,,,,,37375.0,-95.93,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Short Buildup,PAT:Short Buildup|SCR:|P:-0.27|OI:0.29|VOL:-95.93|FUT:nan,PDNA_97C9447F
TMPV,347.2,-0.26,75331200.0,0.22,,,,,,585600.0,-95.93,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Short Buildup,PAT:Short Buildup|SCR:|P:-0.26|OI:0.22|VOL:-95.93|FUT:nan,PDNA_0CB2E127
CONCOR,521.9,-0.08,21433750.0,0.02,,,,,,76250.0,-95.96,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Short Buildup,PAT:Short Buildup|SCR:|P:-0.08|OI:0.02|VOL:-95.96|FUT:nan,PDNA_5BC475E0
AMBER,7491.0,0.19,1235700.0,-0.02,,,,,,8900.0,-95.99,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Short Covering,PAT:Short Covering|SCR:|P:0.19|OI:-0.02|VOL:-95.99|FUT:nan,PDNA_C301CC7B
ETERNAL,311.35,0.44,153934150.0,0.03,,,,,,970000.0,-96.06,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.44|OI:0.03|VOL:-96.06|FUT:nan,PDNA_AC459157
SBICARD,666.95,-0.27,22282400.0,0.08,,,,,,82400.0,-96.06,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Short Buildup,PAT:Short Buildup|SCR:|P:-0.27|OI:0.08|VOL:-96.06|FUT:nan,PDNA_C1D08BB9
JUBLFOOD,468.65,-0.41,16528750.0,0.36,,,,,,295000.0,-96.21,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Short Buildup,PAT:Short Buildup|SCR:|P:-0.41|OI:0.36|VOL:-96.21|FUT:nan,PDNA_B9CFF37E
ASIANPAINT,2803.5,0.43,7433000.0,0.02,,,,,,37250.0,-96.25,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.43|OI:0.02|VOL:-96.25|FUT:nan,PDNA_EBC40446
BANKINDIA,140.3,0.19,96662800.0,0.19,,,,,,514800.0,-96.28,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.19|OI:0.19|VOL:-96.28|FUT:nan,PDNA_D4C26DBB
CAMS,796.3,-0.24,7389525.0,0.12,,,,,,96525.0,-96.31,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Short Buildup,PAT:Short Buildup|SCR:|P:-0.24|OI:0.12|VOL:-96.31|FUT:nan,PDNA_7369E039
IEX,129.25,0.97,73075650.0,-0.34,,,,,,1052700.0,-96.35,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Short Covering,PAT:Short Covering|SCR:|P:0.97|OI:-0.34|VOL:-96.35|FUT:nan,PDNA_1C564B7C
GLENMARK,2217.2,-0.09,11692875.0,0.26,,,,,,84375.0,-96.4,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Short Buildup,PAT:Short Buildup|SCR:|P:-0.09|OI:0.26|VOL:-96.4|FUT:nan,PDNA_D814F8FC
FORTIS,942.1,-0.35,9641775.0,0.49,,,,,,132525.0,-96.43,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx,0,SELL,,Short Buildup,PAT:Short Buildup|SCR:|P:-0.35|OI:0.49|VOL:-96.43|FUT:nan,PDNA_ADB6E899
