Symbol,Price,Price Chg %,OI,OI Chg %,PCR,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File
TATAELXSI,3770.0,-0.05,2410625.0,-0.11,,,,,,21125.0,-94.93,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
UNOMINDA,1215.0,-0.16,4631000.0,0.35,,,,,,64900.0,-94.96,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
INDHOTEL,749.95,0.33,20803000.0,0.21,,,,,,130000.0,-94.97,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
JINDALSTEL,1122.0,0.36,13537500.0,0.19,,,,,,105625.0,-94.99,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
ADANIPOWER,213.52,0.35,155770450.0,0.06,,,,,,504100.0,-95.03,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
TATAPOWER,382.3,-0.25,62131050.0,0.06,,,,,,160950.0,-95.11,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
BANDHANBNK,173.33,0.27,132739200.0,0.06,,,,,,432000.0,-95.16,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
BAJFINANCE,1152.0,0.39,55613250.0,0.2,,,,,,614250.0,-95.19,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
PERSISTENT,5503.0,-0.91,3573000.0,0.23,,,,,,74875.0,-95.42,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
KPITTECH,617.3,0.06,13178100.0,0.26,,,,,,213125.0,-95.43,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
AUROPHARMA,1556.1,0.41,10090850.0,0.07,,,,,,52250.0,-95.47,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
OIL,451.35,-0.25,15738800.0,0.03,,,,,,98000.0,-95.5,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
NMDC,84.48,0.88,343696500.0,0.0,,,,,,884250.0,-95.52,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
LT,4015.5,-0.08,11500825.0,0.06,,,,,,68950.0,-95.56,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
LTM,4625.0,-1.05,2264400.0,0.81,,,,,,70950.0,-95.71,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
CIPLA,1462.1,0.08,8965375.0,0.05,,,,,,38250.0,-95.75,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
ABCAPITAL,424.2,0.66,37150400.0,0.52,,,,,,871100.0,-95.88,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
ASHOKLEY,174.48,-0.38,144635000.0,0.22,,,,,,1975000.0,-95.89,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
APLAPOLLO,1968.0,1.22,5626950.0,-0.43,,,,,,189000.0,-95.92,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
COALINDIA,417.35,0.57,79035750.0,-0.02,,,,,,274050.0,-95.93,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
KFINTECH,931.85,-0.27,3926100.0,0.29,,,,,,37375.0,-95.93,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
