Symbol,Price,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,OI,OI Chg %,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Volume Chg %,Report_Type,Source_File
ABB,7451,-1.78,-1.78,-1.78,-1.78,-1.78,2070375,-0.93,-0.93,,,,,,,,,124625,-35.47,-35.47,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
COALINDIA,401.2,-1.73,-1.73,-1.73,-1.73,-1.73,76470750,0.14,0.14,,,,,,,,,3044250,-35.83,-35.83,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
MCX,"2,984.7",-1.72,-1.72,-1.72,-1.72,-1.72,7868025,4.49,4.49,,,,,,,,,1467900,-35.85,-35.85,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
OFSS,11740,0.91,0.91,0.91,0.91,0.91,1207500,0.39,0.39,,,,,,,,,71600,-36.01,-36.01,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
360ONE,"1,177.5",0.67,0.67,0.67,0.67,0.67,3906500,-1.5,-1.5,,,,,,,,,373500,-36.37,-36.37,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
PIIND,"2,510.5",0.21,0.21,0.21,0.21,0.21,3945900,0.96,0.96,,,,,,,,,236950,-36.43,-36.43,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
PERSISTENT,5515,0.88,0.88,0.88,0.88,0.88,3289625,1.45,1.45,,,,,,,,,296250,-37.48,-37.48,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
NBCC,87.4,-0.66,-0.66,-0.66,-0.66,-0.66,98501000,-0.16,-0.16,,,,,,,,,4108000,-37.67,-37.67,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
WAAREEENER,"2,667.2",-1.34,-1.34,-1.34,-1.34,-1.34,7093100,0.8,0.8,,,,,,,,,335300,-37.83,-37.83,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
INDIANB,871.3,-0.76,-0.76,-0.76,-0.76,-0.76,11357000,-0.25,-0.25,,,,,,,,,536000,-37.96,-37.96,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
HINDALCO,"1,034.4",-0.69,-0.69,-0.69,-0.69,-0.69,43536500,-0.45,-0.45,,,,,,,,,1377600,-38.23,-38.23,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
HEROMOTOCO,5737,0.17,0.17,0.17,0.17,0.17,4081950,3.12,3.12,,,,,,,,,295500,-38.24,-38.24,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
BAJAJ-AUTO,11675,0.38,0.38,0.38,0.38,0.38,1787325,0.85,0.85,,,,,,,,,79650,-38.9,-38.9,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
CROMPTON,244.2,-0.25,-0.25,-0.25,-0.25,-0.25,64175350,-0.12,-0.12,,,,,,,,,2620850,-39.23,-39.23,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
SHRIRAMFIN,"1,105.1",-0.3,-0.3,-0.3,-0.3,-0.3,23114025,-1.38,-1.38,,,,,,,,,1688775,-39.92,-39.92,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
