Symbol,Price,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,OI,OI Chg %,OI Chg %,OI Chg %,OI Chg %,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Volume Chg %,Report_Type,Source_File
AMBUJACEM,431.6,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,80630400,0.75,0.75,0.75,0.75,0.75,,,,,,,,,1298400,-94.87,-94.87,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
NIFTYNXT50,72500,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,15750,-0.47,-0.47,-0.47,-0.47,-0.47,,,,,,,,,375,-94.97,-94.97,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
FEDERALBNK,359.25,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,88017500,0.03,0.03,0.03,0.03,0.03,,,,,,,,,492500,-95.03,-95.03,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
HINDUNILVR,2070,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,17493300,-0.01,-0.01,-0.01,-0.01,-0.01,,,,,,,,,870900,-95.09,-95.09,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
UNOMINDA,"1,189.1",1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,4656850,-0.17,-0.17,-0.17,-0.17,-0.17,,,,,,,,,47300,-95.09,-95.09,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
TATAELXSI,"3,629.3",0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,2720750,-0.26,-0.26,-0.26,-0.26,-0.26,,,,,,,,,49875,-95.1,-95.1,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
LODHA,"1,229.4",0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,13763750,0.39,0.39,0.39,0.39,0.39,,,,,,,,,313750,-95.11,-95.11,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
PAYTM,1306,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61,20887250,0.26,0.26,0.26,0.26,0.26,,,,,,,,,329875,-95.25,-95.25,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
BHARATFORG,2197,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,7433500,0.34,0.34,0.34,0.34,0.34,,,,,,,,,52000,-95.26,-95.26,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
MIDCPNIFTY,14699.25,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,1860480,0.03,0.03,0.03,0.03,0.03,,,,,,,,,26880,-95.32,-95.32,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
M&M,"3,326.3",1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,15526600,0.27,0.27,0.27,0.27,0.27,,,,,,,,,158600,-95.39,-95.39,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
BANKBARODA,242.45,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,131227200,0.14,0.14,0.14,0.14,0.14,,,,,,,,,1374750,-95.44,-95.44,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
IOC,139.75,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,144719250,0.04,0.04,0.04,0.04,0.04,,,,,,,,,770250,-95.5,-95.5,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
HDFCBANK,747.7,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,298480000,0.01,0.01,0.01,0.01,0.01,,,,,,,,,2093650,-95.52,-95.52,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
HEROMOTOCO,"5,232.9",0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,4752300,0.21,0.21,0.21,0.21,0.21,,,,,,,,,42150,-95.58,-95.58,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
AXISBANK,"1,229.9",-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,77836250,0.19,0.19,0.19,0.19,0.19,,,,,,,,,414375,-95.62,-95.62,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
POWERGRID,285.55,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,42185700,0.16,0.16,0.16,0.16,0.16,,,,,,,,,345800,-95.65,-95.65,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
MARUTI,13769,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,2286450,0.33,0.33,0.33,0.33,0.33,,,,,,,,,26650,-95.66,-95.66,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
HCLTECH,"1,336.9",0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,27530400,0.16,0.16,0.16,0.16,0.16,,,,,,,,,247200,-95.73,-95.73,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
AUROPHARMA,1571,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,10008350,0.02,0.02,0.02,0.02,0.02,,,,,,,,,72600,-95.76,-95.76,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
KAYNES,"3,293.6",1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,3673050,0.04,0.04,0.04,0.04,0.04,,,,,,,,,43500,-95.76,-95.76,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
ASIANPAINT,2740,-0.53,-0.53,-0.53,-0.53,-0.53,-0.53,-0.53,-0.53,-0.53,-0.53,-0.53,7520500,0.3,0.3,0.3,0.3,0.3,,,,,,,,,78500,-95.94,-95.94,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
LAURUSLABS,"1,766.8",0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,17162350,0.19,0.19,0.19,0.19,0.19,,,,,,,,,259250,-95.96,-95.96,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
FORCEMOT,17270,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,277075,0.5,0.5,0.5,0.5,0.5,,,,,,,,,3550,-96.0,-96.0,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
ADANIPORTS,1792,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,19405175,0.13,0.13,0.13,0.13,0.13,,,,,,,,,151525,-96.08,-96.08,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
ASHOKLEY,158.3,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,146680000,0.54,0.54,0.54,0.54,0.54,,,,,,,,,1885000,-96.16,-96.16,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
DIXON,13819,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,2161850,0.21,0.21,0.21,0.21,0.21,,,,,,,,,13450,-96.16,-96.16,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
HDFCLIFE,562.4,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,41268700,0.43,0.43,0.43,0.43,0.43,,,,,,,,,283800,-96.18,-96.18,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
MCX,"2,751.7",1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,6950250,0.07,0.07,0.07,0.07,0.07,,,,,,,,,75825,-96.26,-96.26,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
AUBANK,"1,056.9",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,22371000,0.08,0.08,0.08,0.08,0.08,,,,,,,,,103000,-96.31,-96.31,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
SAIL,170.8,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,191421600,-0.02,-0.02,-0.02,-0.02,-0.02,,,,,,,,,1706100,-96.37,-96.37,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
ZYDUSLIFE,1114,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,9801900,0.22,0.22,0.22,0.22,0.22,,,,,,,,,54000,-96.39,-96.39,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
RVNL,225.25,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,34157200,-0.08,-0.08,-0.08,-0.08,-0.08,,,,,,,,,413875,-96.42,-96.42,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
POWERINDIA,31120,-0.42,-0.42,-0.42,-0.42,-0.42,-0.42,-0.42,-0.42,-0.42,-0.42,-0.42,516700,0.49,0.49,0.49,0.49,0.49,,,,,,,,,6350,-96.53,-96.53,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
ABB,"7,241.5",-0.46,-0.46,-0.46,-0.46,-0.46,-0.46,-0.46,-0.46,-0.46,-0.46,-0.46,2055000,0.48,0.48,0.48,0.48,0.48,,,,,,,,,22125,-96.64,-96.64,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
GLENMARK,"2,214.3",0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,11630625,0.12,0.12,0.12,0.12,0.12,,,,,,,,,90750,-96.74,-96.74,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
MAXHEALTH,"1,116.5",0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,9750825,-0.05,-0.05,-0.05,-0.05,-0.05,,,,,,,,,31500,-96.75,-96.75,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
ALKEM,5712,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,1361500,0.1,0.1,0.1,0.1,0.1,,,,,,,,,5750,-96.76,-96.76,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
INOXWIND,77.69,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,105587200,0.2,0.2,0.2,0.2,0.2,,,,,,,,,1376000,-96.81,-96.81,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
CIPLA,"1,458.8",0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,9828975,0.18,0.18,0.18,0.18,0.18,,,,,,,,,59075,-96.82,-96.82,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
CUMMINSIND,5492,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3932400,0.42,0.42,0.42,0.42,0.42,,,,,,,,,32000,-96.82,-96.82,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
POLYCAB,9180,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,2293250,0.18,0.18,0.18,0.18,0.18,,,,,,,,,19625,-96.84,-96.84,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
WAAREEENER,"2,711.3",0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,7007000,0.35,0.35,0.35,0.35,0.35,,,,,,,,,55475,-96.95,-96.95,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
DRREDDY,"1,140.2",-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,13639375,0.24,0.24,0.24,0.24,0.24,,,,,,,,,109375,-96.98,-96.98,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
PNB,112.37,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,295056000,0.07,0.07,0.07,0.07,0.07,,,,,,,,,1464000,-97.04,-97.04,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
SHRIRAMFIN,"1,047.1",0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,27647400,0.16,0.16,0.16,0.16,0.16,,,,,,,,,202950,-97.04,-97.04,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
CAMS,799.05,-0.46,-0.46,-0.46,-0.46,-0.46,-0.46,-0.46,-0.46,-0.46,-0.46,-0.46,6558750,0.39,0.39,0.39,0.39,0.39,,,,,,,,,66000,-97.07,-97.07,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
DLF,668.15,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,47505700,0.2,0.2,0.2,0.2,0.2,,,,,,,,,351500,-97.07,-97.07,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
NAUKRI,1250.85,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,14616800,0.3,0.3,0.3,0.3,0.3,,,,,,,,,133100,-97.13,-97.13,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
