Symbol,ATM Straddle %,Open,High,Low,Close,Price Chg,Price Chg %,IV Chg,IV Chg %,OI Chg,OI Chg %,PCR Chg,PCR Chg %,Tot CE OI Chg,Tot CE OI Chg %,Tot PE OI Chg,Tot PE OI Chg %,Tot PE-CE OI Chg,Report_Type,Source_File,Sector,Price,Price Chg %,OI,PCR,Bldp,Price.1,Price Chg.1,Price Chg%.1,OI Chg.1,OI Chg %.1,Bldp.1,Price.2,Price Chg.2,Price Chg%.2,OI Chg.2,OI Chg %.2,Bldp.2,Price.3,Price Chg.3,Price Chg%.3,OI Chg.3,OI Chg %.3,Bldp.3,Fut OI,Fut OI Chg,Fut OI Chg %,Strike,Call OI,Call OI Chg,Put OI,Put OI Chg,Dist. From Strike %,Fut Buildup,Sector Name,Adv/ Dec/ Unchg,Price Chg %,Volume Chg %,OI Chg %,Rollover (%),Buildup,Tol CE OI Chg,Tol PE OI Chg,Tol PE-CE OI Chg,Tol PE-CE OI Chg %,Price chg,OI chg,OI Chg (Value),Volume,Volume Chg %
BIOCON,6.04,434.7,437.65,433.4,433.55,-0.7,-0.16,1.33,4.87,71,0.38,-0.01,-1.33,100,2.58,53.0,1.83,-47,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLUESTARCO,6.47,1646.0,1663.6,1646.0,1651.1,3.6,0.22,0.45,1.33,-11,-0.11,0.01,0.93,-5,-0.8,-1.0,-0.15,4,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSCHLTD,5.72,41400.0,41520.0,41245.0,41305.0,-5,-0.01,-1.67,-5.91,20,0.25,0.01,1.05,55,4.61,71.0,6.26,16,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPCL,6.07,322.0,322.0,317.6,320.4,-1.3,-0.4,-0.22,-0.79,126,0.65,-0.04,-4.65,213,6.16,31.0,1.04,-182,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRITANNIA,5.54,5446.5,5528.5,5432.5,5525.0,100,1.84,0.12,0.47,66,0.41,-0.29,-30.53,642,39.1,-53.0,-3.38,-695,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSE,8.13,3492.6,3514.3,3486.0,3506.0,28.1,0.81,-0.87,-2.28,41,0.1,-0.02,-2.33,649,3.7,248.0,1.65,-401,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMS,7.56,803.55,804.3,792.25,792.5,-10.25,-1.28,-0.24,-0.68,42,0.53,0.01,1.72,-13,-0.59,10.0,0.78,23,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANBK,6.44,125.8,126.18,125.16,125.2,0.22,0.18,0.02,0.07,32,0.05,0.0,0.0,170,1.45,125.0,1.63,-45,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDSL,7.01,1359.0,1361.8,1350.9,1350.9,-2.6,-0.19,-0.41,-1.26,63,0.32,-0.01,-1.06,211,3.15,115.0,1.82,-96,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGPOWER,6.99,847.1,847.1,827.6,833.35,-13.3,-1.57,0.83,2.68,406,1.9,-0.04,-7.84,982,14.67,214.0,6.27,-768,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
