Screen,Image,Image Path,Report Type,Status
Screen 2,2026-07-22_09-35-13.482.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 2\2026-07-22_09-35-13.482.jpeg,UNKNOWN,PENDING
Screen 2,2026-07-22_09-36-43.529.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 2\2026-07-22_09-36-43.529.jpeg,UNKNOWN,PENDING
Screen 2,2026-07-22_09-38-13.777.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 2\2026-07-22_09-38-13.777.jpeg,UNKNOWN,PENDING
Screen 2,2026-07-22_09-39-43.575.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 2\2026-07-22_09-39-43.575.jpeg,UNKNOWN,PENDING
Screen 3,2026-07-22_09-12-00.623.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 3\2026-07-22_09-12-00.623.jpeg,UNKNOWN,PENDING
Screen 3,2026-07-22_09-13-30.599.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 3\2026-07-22_09-13-30.599.jpeg,UNKNOWN,PENDING
Screen 3,2026-07-22_09-15-00.769.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 3\2026-07-22_09-15-00.769.jpeg,UNKNOWN,PENDING
Screen 3,2026-07-22_09-16-30.668.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 3\2026-07-22_09-16-30.668.jpeg,UNKNOWN,PENDING
Screen 3,2026-07-22_09-17-13.129.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 3\2026-07-22_09-17-13.129.jpeg,UNKNOWN,PENDING
Screen 3,2026-07-22_09-18-43.445.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 3\2026-07-22_09-18-43.445.jpeg,UNKNOWN,PENDING
Screen 3,2026-07-22_09-20-13.400.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 3\2026-07-22_09-20-13.400.jpeg,UNKNOWN,PENDING
