Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason,Pattern,Intraday Probability %,Confidence,Final Bias,Validation Signal,Risk Level,Entry Price,Stop Loss,Target,Replay Eligible,Filter Reason,High,Low,Close,Outcome,Outcome Reason,Exit Price,Points,Return %,Win
CROMPTON,243.8,-6.15,40267350.0,1.01,,,,,,,,,1846850.0,-87.34,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,243.8,248.676,234.048,True,Eligible,253.2,241.75,251.95,STOP LOSS HIT,Stop loss breached during replay range,248.676,-4.875999999999976,-1.9999999999999905,False
DRREDDY,1147.4,-16.8,9346250.0,0.99,,,,,,,,,1358125.0,-86.76,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,1147.4,1170.3480000000002,1101.504,True,Eligible,1160.8,1134.0,1150.4,EOD EXIT,Neither target nor stop reached; exited at close,1150.4,-3.0,-0.261460693742374,False
NBCC,92.07,-1.1,82056000.0,1.77,,,,,,,,,4829500.0,-75.49,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,92.07,93.9114,88.38719999999999,True,Eligible,94.56,91.78,94.3,STOP LOSS HIT,Stop loss breached during replay range,93.9114,-1.8414000000000077,-2.000000000000008,False
MAZDOCK,2290.0,-10.0,3485925.0,-3.26,,,,,,,,,394650.0,-79.7,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum; OI Reduction,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,2290.0,2335.8,2198.4,True,Eligible,2296.8,2247.0,2274.4,EOD EXIT,Neither target nor stop reached; exited at close,2274.4,15.599999999999907,0.6812227074235768,False
DALBHARAT,1844.6,-10.0,3750825.0,-2.82,,,,,,,,,368875.0,-72.84,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum; OI Reduction,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,1844.6,1881.492,1770.8159999999998,True,Eligible,1869.7,1773.7,1803.4,EOD EXIT,Neither target nor stop reached; exited at close,1803.4,41.19999999999982,2.233546568361694,False
BIOCON,430.4,-4.65,35970000.0,2.09,,,,,,,,,3892500.0,-71.05,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum; Fresh OI Buildup,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,430.4,439.008,413.184,True,Eligible,437.5,429.0,436.5,EOD EXIT,Neither target nor stop reached; exited at close,436.5,-6.100000000000023,-1.4172862453531654,False
MOTILALOFS,890.85,-51.65,4343875.0,1.72,,,,,,,,,814525.0,-63.1,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,890.85,908.667,855.216,True,Eligible,948.05,841.0,875.75,TARGET HIT,Target reached during replay range,855.216,35.634000000000015,4.000000000000002,True
INOXWIND,75.31,-1.04,72275200.0,-1.0,,,,,,,,,2777600.0,-87.69,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,75.31,76.81620000000001,72.2976,True,Eligible,77.75,75.32,77.18,STOP LOSS HIT,Stop loss breached during replay range,76.81620000000001,-1.5062000000000069,-2.000000000000009,False
LICI,421.0,-1.65,16489200.0,-0.57,,,,,,,,,609000.0,-88.05,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,421.0,429.42,404.16,True,Eligible,419.7,412.8,416.45,EOD EXIT,Neither target nor stop reached; exited at close,416.45,4.550000000000011,1.0807600950118792,False
WIPRO,172.31,-1.07,191802000.0,-0.04,,,,,,,,,15105000.0,-85.71,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,172.31,175.7562,165.4176,True,Eligible,172.88,169.08,172.29,EOD EXIT,Neither target nor stop reached; exited at close,172.29,0.0200000000000102,0.0116069874064246,False
