Symbol,Price,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,OI,OI Chg %,OI Chg %,OI Chg %,OI Chg %,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File
HINDZINC,525.7,-5.75,-5.75,-5.75,-5.75,-5.75,-5.75,-5.75,-5.75,-5.75,-5.75,-5.75,21780500,-0.07,-0.07,-0.07,-0.07,-0.07,,,,,,,,,656600,-89.16,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
POLICYBZR,"1,512.3",-16.4,-16.4,-16.4,-16.4,-16.4,-16.4,-16.4,-16.4,-16.4,-16.4,-16.4,8927450,-0.01,-0.01,-0.01,-0.01,-0.01,,,,,,,,,255150,-89.19,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
GODFRYPHLP,"2,039.8",-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1295800,-1.36,-1.36,-1.36,-1.36,-1.36,,,,,,,,,70675,-89.2,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
HAVELLS,"1,209.2",0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,6654000,0.96,0.96,0.96,0.96,0.96,,,,,,,,,309500,-89.24,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
LUPIN,"2,383.5",-16.1,-16.1,-16.1,-16.1,-16.1,-16.1,-16.1,-16.1,-16.1,-16.1,-16.1,3680075,1.43,1.43,1.43,1.43,1.43,,,,,,,,,247775,-89.28,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
MIDCPNIFTY,14305.55,-117.35,-117.35,-117.35,-117.35,-117.35,-117.35,-117.35,-117.35,-117.35,-117.35,-117.35,1501680,1,1,1,1,1,,,,,,,,,92160,-89.31,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
TIINDIA,"2,824.7",-9.2,-9.2,-9.2,-9.2,-9.2,-9.2,-9.2,-9.2,-9.2,-9.2,-9.2,1381600,-0.43,-0.43,-0.43,-0.43,-0.43,,,,,,,,,83000,-89.31,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
TMPV,319.75,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,66369600,-0.15,-0.15,-0.15,-0.15,-0.15,,,,,,,,,2163200,-89.33,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
CHOLAFIN,"1,667.8",-48.8,-48.8,-48.8,-48.8,-48.8,-48.8,-48.8,-48.8,-48.8,-48.8,-48.8,9152500,1.04,1.04,1.04,1.04,1.04,,,,,,,,,520625,-89.35,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
BANDHANBNK,163.79,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,53434800,0.42,0.42,0.42,0.42,0.42,,,,,,,,,3207600,-89.5,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
NESTLEIND,"1,460.2",11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,8569500,0.16,0.16,0.16,0.16,0.16,,,,,,,,,372000,-89.53,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
PRESTIGE,1599,-22.3,-22.3,-22.3,-22.3,-22.3,-22.3,-22.3,-22.3,-22.3,-22.3,-22.3,3258000,0.07,0.07,0.07,0.07,0.07,,,,,,,,,205650,-90.08,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
BSE,"3,539.9",-35.9,-35.9,-35.9,-35.9,-35.9,-35.9,-35.9,-35.9,-35.9,-35.9,-35.9,6492800,0.05,0.05,0.05,0.05,0.05,,,,,,,,,183400,-90.11,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
MANKIND,"2,549.9",-5.3,-5.3,-5.3,-5.3,-5.3,-5.3,-5.3,-5.3,-5.3,-5.3,-5.3,2129000,-0.69,-0.69,-0.69,-0.69,-0.69,,,,,,,,,97250,-90.16,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
GMRAIRPORT,106.28,-1.32,-1.32,-1.32,-1.32,-1.32,-1.32,-1.32,-1.32,-1.32,-1.32,-1.32,92042100,0.54,0.54,0.54,0.54,0.54,,,,,,,,,3285225,-90.2,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
PHOENIXLTD,"1,990.6",-50.6,-50.6,-50.6,-50.6,-50.6,-50.6,-50.6,-50.6,-50.6,-50.6,-50.6,2282700,0.26,0.26,0.26,0.26,0.26,,,,,,,,,101850,-90.31,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
IDEA,12.99,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,3578324400,0.56,0.56,0.56,0.56,0.56,,,,,,,,,138590025,-90.53,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
MCX,2746,-8.9,-8.9,-8.9,-8.9,-8.9,-8.9,-8.9,-8.9,-8.9,-8.9,-8.9,6180075,0.36,0.36,0.36,0.36,0.36,,,,,,,,,193950,-90.59,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
ADANIPORTS,"1,778.7",-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,12135775,1.93,1.93,1.93,1.93,1.93,,,,,,,,,559075,-90.68,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
POLYCAB,"8,927.5",-41.5,-41.5,-41.5,-41.5,-41.5,-41.5,-41.5,-41.5,-41.5,-41.5,-41.5,1788750,-0.56,-0.56,-0.56,-0.56,-0.56,,,,,,,,,100375,-90.77,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
