trading_date,observation_timestamp,symbol,direction,open_price,current_price,opening_straddle_premium,approaching_level,breakout_level,distance_to_breakout,approach_progress_pct
2026-08-17,2026-08-17T09:38:11.330481,NMDC,DOWN,83.0,81.37,3.0046000000000004,81.4977,79.9954,1.374600000000001,54.25014977035196
2026-08-17,2026-08-17T09:53:40.769637,ALKEM,UP,5360.0,5474.5,181.704,5450.852,5541.704,67.20399999999972,63.014573151939416
2026-08-18,2026-08-18T09:20:08.956457,HYUNDAI,UP,2180.0,2213.8,64.31,2212.155,2244.31,30.509999999999764,52.55792256258774
2026-08-18,2026-08-18T09:20:08.956457,KPITTECH,DOWN,614.45,603.1,22.673205000000003,603.1133975,591.776795,11.32320500000003,50.05908957291226
2026-08-18,2026-08-18T09:25:16.356163,OBEROIRLTY,DOWN,1950.0,1888.4,79.94999999999999,1910.025,1870.05,18.350000000000136,77.04815509693547
2026-08-18,2026-08-18T09:25:16.356163,ANGELONE,DOWN,290.0,282.5,10.933,284.5335,279.067,3.4329999999999927,68.59965242842769
2026-08-18,2026-08-18T09:25:16.356163,KFINTECH,DOWN,968.8,946.1,38.07384,949.76308,930.72616,15.373840000000088,59.62098910958268
2026-08-18,2026-08-18T09:25:16.356163,TIINDIA,UP,2767.1,2832.3,116.77161999999998,2825.48581,2883.87162,51.57161999999971,55.83548468369308
2026-08-18,2026-08-18T09:25:16.356163,BSE,DOWN,3312.5,3235.9,139.7875,3242.60625,3172.7125,63.1875,54.79746043101129
2026-08-18,2026-08-18T09:25:16.356163,SBICARD,DOWN,640.45,629.85,19.98204,630.45898,620.4679600000001,9.38203999999996,53.04763677782661
2026-08-18,2026-08-18T09:25:16.356163,PHOENIXLTD,DOWN,1942.1,1915.2,53.60195999999999,1915.29902,1888.49804,26.7019600000001,50.18473205084268
2026-08-18,2026-08-18T09:30:23.662454,COLPAL,DOWN,1949.1,1918.6,56.328990000000005,1920.935505,1892.77101,25.828989999999976,54.14618653734071
2026-08-18,2026-08-18T09:30:23.662454,DLF,DOWN,674.05,661.55,23.119915,662.4900425,650.930085,10.619914999999992,54.06594271648489
2026-08-18,2026-08-18T09:30:23.662454,SOLARINDS,UP,20000.0,20416.0,774.0,20387.0,20774.0,358.0,53.746770025839794
2026-08-18,2026-08-18T09:30:23.662454,SONACOMS,UP,805.0,820.65,29.2215,819.61075,834.2215,13.571500000000016,53.55645671851197
2026-08-18,2026-08-18T09:35:36.188907,BHARTIARTL,DOWN,1960.1,1937.5,40.18205,1940.008975,1919.91795,17.58204999999998,56.24401940667515
2026-08-18,2026-08-18T09:35:36.188907,PRESTIGE,DOWN,1597.6,1569.2,52.24152,1571.47924,1545.35848,23.841520000000173,54.36288990059988
2026-08-18,2026-08-18T09:35:36.188907,GODREJPROP,DOWN,2044.0,2003.0,75.4236,2006.2882,1968.5764,34.42360000000008,54.3596434007393
2026-08-18,2026-08-18T09:35:36.188907,WIPRO,DOWN,182.0,179.12,5.314399999999999,179.3428,176.6856,2.4344000000000108,54.19238295950617
2026-08-18,2026-08-18T09:35:36.188907,LODHA,DOWN,1255.0,1228.9,49.196000000000005,1230.402,1205.804,23.096000000000004,53.05309374745896
2026-08-18,2026-08-18T09:35:36.188907,INDUSTOWER,DOWN,380.05,374.8,10.147335,374.9763325,369.902665,4.897334999999998,51.737722268950414
2026-08-18,2026-08-18T10:11:23.148884,INOXWIND,DOWN,78.31,76.01,3.594429,76.5127855,74.715571,1.294429000000008,63.9879101798922
2026-08-18,2026-08-18T10:11:23.148884,BAJAJHLDNG,DOWN,11411.0,11250.0,280.7106,11270.6447,11130.2894,119.71060000000034,57.354442618127
2026-08-18,2026-08-18T10:11:23.148884,BIOCON,UP,412.4,419.75,13.238039999999998,419.01902,425.63804,5.8880399999999895,55.52181440757109
2026-08-18,2026-08-18T10:11:23.148884,CDSL,DOWN,1363.8,1340.5,42.14142,1342.72929,1321.65858,18.84141999999997,55.29002107665085
2026-08-18,2026-08-18T10:11:23.148884,NAM-INDIA,DOWN,1192.1,1166.7,46.73031999999999,1168.7348399999998,1145.36968,21.33032000000003,54.35443198334586
2026-08-18,2026-08-18T10:11:23.148884,MPHASIS,DOWN,2518.9,2465.2,99.24466,2469.27767,2419.6553400000003,45.54465999999957,54.10870469000576
2026-08-18,2026-08-18T10:11:23.148884,NIFTY,DOWN,24301.0,24256.0,85.0535,24258.47325,24215.9465,40.05350000000181,52.90787563122035
