Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File
ITC,280.6,-0.5,121160550.0,-1.81,,,,,,,,,7731450.0,-38.13,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
ASTRAL,1409.7,-0.6,7733300.0,-2.09,,,,,,,,,773500.0,-39.03,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
MANKIND,2568.2,21.4,2849750.0,-0.87,,,,,,,,,235250.0,-39.17,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
RVNL,223.15,-0.47,34524875.0,-2.3,,,,,,,,,2200275.0,-39.23,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
TATACONSUM,1102.4,6.3,14987500.0,1.76,,,,,,,,,1186900.0,-39.23,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
NYKAA,325.75,-1.7,44062500.0,0.69,,,,,,,,,3609375.0,-39.62,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
INFY,1045.7,-8.7,98160000.0,0.86,,,,,,,,,10324400.0,-39.72,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
ABB,7634.5,98.5,2300625.0,-0.7,,,,,,,,,229000.0,-40.6,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
HAVELLS,1215.4,6.2,8851500.0,0.6,,,,,,,,,636500.0,-41.26,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
PNB,110.67,-0.02,250304000.0,1.77,,,,,,,,,19432000.0,-41.48,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
PHOENIXLTD,2060.5,6.8,3170300.0,1.7,,,,,,,,,218050.0,-42.21,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
SHRIRAMFIN,1056.0,-1.5,23812800.0,0.84,,,,,,,,,3075600.0,-42.24,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
ICICIBANK,1441.6,-0.8,92911700.0,3.09,,,,,,,,,5685400.0,-42.26,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
NTPC,347.45,-2.65,116617500.0,2.01,,,,,,,,,6303000.0,-42.89,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
SOLARINDS,18842.0,-11.0,719750.0,0.28,,,,,,,,,45700.0,-43.12,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
BEL,405.95,-1.45,85508550.0,0.59,,,,,,,,,4159575.0,-44.36,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
DALBHARAT,1866.6,2.6,4560075.0,-3.34,,,,,,,,,448825.0,-44.58,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
BDL,1241.8,2.3,7625350.0,-1.5,,,,,,,,,551650.0,-44.65,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
MUTHOOTFIN,3067.5,21.9,6240575.0,0.27,,,,,,,,,490600.0,-44.92,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
IOC,141.73,-0.36,133887000.0,0.72,,,,,,,,,8165625.0,-45.65,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
AXISBANK,1236.9,-3.7,64043750.0,1.27,,,,,,,,,2811875.0,-45.66,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
ABCAPITAL,396.8,-4.0,34844000.0,2.45,,,,,,,,,3270500.0,-45.67,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
