Symbol,ATM Straddle %,Price Chg,Price Chg %,IV Chg,IV Chg %,OI Chg,OI Chg %,PCR Chg,PCR Chg %,Tot CE OI Chg,Tot CE OI Chg %,Tot PE OI Chg,Tot PE OI Chg %,Tot PE-CE OI Chg,Report_Type,Source_File,Sector,Price,Price Chg%,OI,PCR,Bldp,Price.1,Price Chg.1,Price Chg%.1,OI Chg.1,OI Chg %.1,Bldp.1,Price.2,Price Chg.2,Price Chg%.2,OI Chg.2,OI Chg %.2,Bldp.2,Price.3,Price Chg.3,Price Chg%.3,OI Chg.3,OI Chg %.3,Bldp.3,Exported data,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Fut OI,Fut OI Chg,Fut OI Chg %,Strike,Call OI,Call OI Chg,Put OI,Put OI Chg,Dist. From Strike %,Fut Buildup,Price chg,Price chg (%),OI chg,OI chg (%),OI Chg (Value),Volume,Volume Chg (%)
INDIGO,5.34,-17.0,-0.33,9.37,20.26,509.0,1.41,0.15,18.52,-86.0,-0.38,3386.0,18.47,3472,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDUSINDBK,2.66,-53.1,-4.97,-30.22,-51.64,1407.0,3.06,-0.26,-23.64,1493.0,8.69,-3217.0,-17.07,-4710,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDUSTOWER,3.13,-3.1,-0.78,4.33,15.34,338.0,0.7,0.0,0.0,-64.0,-0.46,-91.0,-0.86,-27,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFY,4.57,-9.9,-0.94,1.75,3.77,2173.0,0.89,0.0,0.0,2837.0,1.96,2151.0,2.01,-686,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INOXWIND,3.05,0.36,0.47,-1.25,-3.69,-211.0,-1.49,0.0,0.0,-66.0,-0.98,13.0,0.35,79,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IOC,2.38,-0.16,-0.11,-0.81,-3.12,179.0,0.66,0.02,2.86,-431.0,-3.36,-62.0,-0.69,369,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IREDA,2.83,0.93,0.78,-2.63,-8.15,-802.0,-5.67,0.02,3.28,-210.0,-3.17,-39.0,-0.96,171,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRFC,2.37,-0.07,-0.08,-2.0,-7.42,-583.0,-3.51,0.01,1.72,-459.0,-3.65,-117.0,-1.6,342,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITC,1.53,-0.45,-0.16,-1.56,-8.86,-1256.0,-1.76,0.0,0.0,-508.0,-1.14,-454.0,-1.58,54,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JINDALSTEL,3.34,3.4,0.33,-0.86,-2.38,-240.0,-1.3,0.02,2.9,-186.0,-2.56,5.0,0.1,191,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIOFIN,2.44,0.38,0.16,-2.37,-8.4,-826.0,-1.58,0.0,0.0,-1545.0,-4.13,-567.0,-3.24,978,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JSWENERGY,2.19,-1.1,-0.2,-7.38,-24.18,-39.0,-0.18,-0.04,-6.67,-191.0,-2.04,-479.0,-8.5,-288,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JSWSTEEL,2.0,-2.4,-0.19,-0.17,-0.81,637.0,1.42,0.01,1.37,-147.0,-1.58,-38.0,-0.56,109,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUBLFOOD,2.75,1.4,0.34,-1.86,-6.08,-348.0,-2.3,0.01,1.28,-165.0,-2.21,-48.0,-0.82,117,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KALYANKJIL,4.47,1.7,0.29,0.74,1.61,-45.0,-0.21,-0.02,-1.54,595.0,2.16,228.0,0.63,-367,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAYNES,5.16,61.5,1.89,5.58,14.45,-291.0,-1.13,0.0,0.0,-21.0,-0.26,-8.0,-0.17,13,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEI,2.52,8.5,0.17,-1.7,-5.94,368.0,3.52,0.0,0.0,-60.0,-1.1,-50.0,-2.14,10,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
