Symbol,CMP,ATM Straddle %,Price Chg,Price Chg %,IV Chg,IV Chg %,OI Chg,OI Chg %,PCR Chg,PCR Chg %,Tot CE OI Chg,Tot CE OI Chg %,Tot PE OI Chg,Tot PE OI Chg %,Tot PE-CE OI Chg,Price,Price chg,Price chg (%),OI,OI chg,OI chg (%),OI Chg (Value),Volume,Volume Chg (%),Price Chg (%),Total OI,Total OI Chg,Total OI Chg (%),PCR,IV,IV Chg (%),IV Range (1Yr),HV (10/20/30 Days),IVR,IVP,IV/HV10 %,IV/HV20 %,IV/HV30 %,Resistance Strike,Resistance Call OI,Resistance Call OI Chg,Resistance Distance %,Near Resistance,Support Strike,Support Put OI,Support Put OI Chg,Support Distance %,Near Support
CIPLA,1422.0,3.98,-11.4,-0.8,0.21,0.74,-186.0,-0.59,0.02,3.57,-355,-2.16,232,2.54,587,1422.0,-11.4,-0.8,13311000.0,-79050.0,-0.59,-11.24 Cr,1156000.0,51.87,-0.8,13311000,-79050,-0.59,0.58,28.77,0.74,7.76 - 46.04,16.65 / 24.97 / 22.15,54.89,93.52,72.79,15.22,29.89,,,,,,,,,,
COALINDIA,428.45,3,0.2,0.05,-0.34,-1.56,-421.0,-0.85,0.01,1.54,-166,-0.65,42,0.25,208,428.45,0.2,0.05,66538800.0,-568350.0,-0.85,-24.35 Cr,5908950.0,61.57,0.05,66538800,-568350,-0.85,0.66,21.47,-1.56,9.08 - 45.52,10.45 / 16.34 / 20.86,34.0,59.11,105.45,31.4,2.92,,,,,,,,,,
COCHINSHIP,1404.5,3.8,-5.9,-0.42,-4.71,-14.65,90.0,0.52,0,0,242,2.02,60,0.86,-182,1404.5,-5.9,-0.42,6930800.0,36000.0,0.52,5.06 Cr,719200.0,84.6,-0.42,6930800,36000,0.52,0.58,27.45,-14.65,23.38 - 61.29,31.60 / 37.66 / 41.20,10.74,5.48,-13.13,-27.11,-33.37,,,,,,1400.0,1527.0,17.0,0.32,YES
COFORGE,1506.7,6.06,-29.4,-1.91,1.11,2.6,599.0,1.55,-0.04,-7.41,1453,8.45,171,1.85,-1282,1506.7,-29.4,-1.91,18614300.0,284525.0,1.55,42.87 Cr,2861875.0,66.94,-1.91,18614300,284525,1.55,0.5,43.76,2.6,14.76 - 61.76,42.21 / 48.84 / 44.46,61.7,84.62,3.67,-10.4,-1.57,,,,,,,,,,
COLPAL,2049.5,3.17,44.6,2.22,-0.23,-1,649.0,3.82,0.01,1.49,-93,-1.36,-17,-0.37,76,2049.5,44.6,2.22,4856225.0,178475.0,3.82,36.58 Cr,917675.0,169.77,2.22,4856225,178475,3.82,0.68,22.68,-1,14.77 - 49.18,29.79 / 28.31 / 29.02,22.99,51.01,-23.87,-19.89,-21.85,2100.0,1377.0,244.0,2.46,NO,2000.0,848.0,54.0,2.42,NO
CONCOR,487.85,4.37,-2.7,-0.55,0.19,0.61,-174.0,-1.08,0,0,-93,-1.4,-62,-1.18,31,487.85,-2.7,-0.55,19885000.0,-217500.0,-1.08,-10.61 Cr,1067500.0,-26.7,-0.55,19885000,-217500,-1.08,0.79,31.36,0.61,14.61 - 80.26,53.14 / 39.33 / 35.38,25.51,81.38,-40.99,-20.26,-11.36,500.0,1640.0,96.0,2.49,NO,,,,,
CROMPTON,253.85,4.42,-4.3,-1.67,-1.21,-3.77,244.0,0.96,0.08,23.53,-578,-8.62,246,10.71,824,253.85,-4.3,-1.67,55390450.0,524600.0,0.96,13.32 Cr,2810050.0,4.48,-1.67,55390450,524600,0.96,0.42,30.9,-3.77,15.15 - 43.83,25.40 / 23.32 / 33.05,54.92,60.32,21.65,32.5,-6.51,,,,,,,,,,
CUMMINSIND,5446.0,4.12,-124.0,-2.23,-2.03,-6.93,273.0,1.14,-0.08,-11.76,1183,18.55,167,3.82,-1016,5446.0,-124.0,-2.23,4860000.0,54600.0,1.14,29.74 Cr,745000.0,-20.37,-2.23,4860000,54600,1.14,0.6,27.26,-6.93,15.05 - 37.75,29.06 / 30.07 / 29.58,53.79,59.92,-6.19,-9.34,-7.84,5600.0,1124.0,194.0,2.83,NO,,,,,
DABUR,428.5,3.27,2.9,0.68,-1.22,-4.95,-98.0,-0.39,0.03,5.17,-587,-5.06,-59,-0.87,528,428.5,2.9,0.68,31000000.0,-122500.0,-0.39,-5.25 Cr,2275000.0,105.88,0.68,31000000,-122500,-0.39,0.61,23.44,-4.95,13.58 - 33.00,28.52 / 32.46 / 28.93,50.77,66.8,-17.81,-27.79,-18.98,,,,,,,,,,
DALBHARAT,1830.2,4.49,-2.9,-0.16,0.85,2.69,541.0,3.67,0.03,3.8,471,13.68,491,18.1,20,1830.2,-2.9,-0.16,4966975.0,175825.0,3.67,32.18 Cr,624325.0,24.74,-0.16,4966975,175825,3.67,0.82,32.43,2.69,13.87 - 79.50,40.02 / 34.10 / 34.62,28.28,80.16,-18.97,-4.9,-6.33,,,,,,,,,,
DELHIVERY,492.2,4.9,-5.85,-1.17,0.54,1.55,173.0,1.34,-0.05,-8.2,868,7.47,-28,-0.4,-896,492.2,-5.85,-1.17,27163825.0,358975.0,1.34,17.67 Cr,10123925.0,132.44,-1.17,27163825,358975,1.34,0.56,35.4,1.55,18.50 - 49.76,36.95 / 50.24 / 43.82,54.06,83.81,-4.19,-29.54,-19.21,,,,,,,,,,
