Rank,Symbol,Pattern,NTIS Score,BUY Probability %,Confidence,Entry Close,Support,Resistance,PCR_x,PCR_y,Fut Buildup,Risk,Stop Loss,Target,Validation Score,Final Signal,Reason
175,BLUESTARCO,Fresh Short Buildup,-15,31,VERY LOW,1678.8,,1700.0,0.59,,,MEDIUM,1628.44,1700.0,0,WAIT,
176,CGPOWER,Fresh Short Buildup,-35,31,VERY LOW,904.9,,,0.61,,,MEDIUM,877.75,,0,WAIT,
177,BAJAJHLDNG,Fresh Short Buildup,5,34,VERY LOW,10428.0,,,0.51,,,MEDIUM,10115.16,,0,WAIT,
178,SHREECEM,Fresh Short Buildup,-10,31,VERY LOW,26495.0,26000.0,27000.0,0.71,0.95,SB,MEDIUM,25870.0,27000.0,0,WAIT,
179,MFSL,Fresh Short Buildup,-25,31,VERY LOW,1543.0,,,0.56,,,MEDIUM,1496.71,,0,WAIT,
180,NMDC,Fresh Short Buildup,-5,31,VERY LOW,83.49,,,0.52,,,MEDIUM,80.99,,0,WAIT,
181,NHPC,Fresh Short Buildup,0,31,VERY LOW,78.67,,80.0,0.55,,,MEDIUM,76.31,80.0,0,WAIT,
182,IOC,Fresh Short Buildup,0,31,VERY LOW,141.86,140.0,,0.64,0.89,LU,MEDIUM,139.3,,0,WAIT,
183,MAXHEALTH,Fresh Short Buildup,0,31,VERY LOW,1088.7,1100.0,1140.0,0.45,0.72,SC,MEDIUM,1094.5,1140.0,0,WAIT,
184,JSWENERGY,Fresh Short Buildup,5,31,VERY LOW,541.75,,,0.63,,,MEDIUM,525.5,,0,WAIT,
185,NATIONALUM,Fresh Short Buildup,5,31,VERY LOW,340.6,,350.0,0.6,,,MEDIUM,330.38,350.0,0,WAIT,
186,PIIND,Fresh Short Buildup,0,31,VERY LOW,2623.3,2700.0,2700.0,0.61,0.84,LB,MEDIUM,2686.5,2700.0,0,WAIT,
187,IREDA,Fresh Short Buildup,0,31,VERY LOW,119.76,120.0,120.0,0.59,1.07,SB,MEDIUM,119.4,120.0,0,WAIT,
188,SUPREMEIND,Fresh Short Buildup,-15,28,VERY LOW,3432.4,,3500.0,0.68,,,MEDIUM,3329.43,3500.0,0,WAIT,
189,AMBER,Fresh Short Buildup,-20,28,VERY LOW,7792.0,,7500.0,0.84,,,MEDIUM,7558.24,7500.0,0,WAIT,
190,VOLTAS,Fresh Short Buildup,-20,28,VERY LOW,1345.5,,,0.79,,,MEDIUM,1305.13,,0,WAIT,
191,MCX,Fresh Short Buildup,-20,28,VERY LOW,2759.2,,,0.58,,,MEDIUM,2676.42,,0,WAIT,
192,CUMMINSIND,Fresh Short Buildup,-30,28,VERY LOW,5446.0,,,0.6,,,MEDIUM,5282.62,,0,WAIT,
193,GODFRYPHLP,Fresh Short Buildup,0,29,VERY LOW,2116.0,2100.0,,0.57,0.71,SC,MEDIUM,2089.5,,0,WAIT,
194,POLYCAB,Fresh Short Buildup,-20,21,VERY LOW,8862.5,9000.0,9000.0,0.56,0.57,SB,MEDIUM,8955.0,9000.0,0,WAIT,
195,ICICIGI,Fresh Short Buildup,-15,21,VERY LOW,1608.1,1600.0,,0.56,0.83,SB,MEDIUM,1592.0,,0,WAIT,
196,POWERINDIA,Fresh Short Buildup,-15,23,VERY LOW,32150.0,,,0.57,,,MEDIUM,31185.5,,0,WAIT,
197,ICICIPRULI,Fresh Short Buildup,-30,23,VERY LOW,498.8,500.0,520.0,0.54,0.7,LU,MEDIUM,497.5,520.0,0,WAIT,
198,ASTRAL,Fresh Short Buildup,-5,28,VERY LOW,1365.2,,,0.63,,,MEDIUM,1324.24,,0,WAIT,
199,INDHOTEL,Fresh Short Buildup,-10,28,VERY LOW,728.0,,750.0,0.64,,,MEDIUM,706.16,750.0,0,WAIT,
200,ANGELONE,Fresh Short Buildup,-10,28,VERY LOW,327.7,300.0,,0.42,0.54,SB,MEDIUM,298.5,,0,WAIT,
201,GVT&D,Fresh Short Buildup,-10,28,VERY LOW,4390.9,,,0.57,,,MEDIUM,4259.17,,0,WAIT,
202,BSE,Fresh Short Buildup,-15,28,VERY LOW,3594.4,3500.0,,0.51,0.82,LU,MEDIUM,3482.5,,0,WAIT,
203,MANKIND,Fresh Short Buildup,-10,23,VERY LOW,2490.6,2600.0,,0.44,0.64,SB,MEDIUM,2587.0,,0,WAIT,
204,ADANIPOWER,Fresh Short Buildup,-10,29,VERY LOW,214.61,210.0,,0.61,0.66,SB,MEDIUM,208.95,,0,WAIT,
205,CANBK,Fresh Short Buildup,10,31,VERY LOW,125.45,,,0.79,,,MEDIUM,121.69,,0,WAIT,
206,DALBHARAT,Fresh Short Buildup,5,31,VERY LOW,1830.2,1800.0,,0.82,0.92,SB,MEDIUM,1791.0,,0,WAIT,
207,MIDCPNIFTY,Fresh Short Buildup,5,31,VERY LOW,14740.6,,,0.96,,,MEDIUM,14298.38,,0,WAIT,
208,DIVISLAB,Fresh Short Buildup,-5,29,VERY LOW,7242.0,,,1.11,,,MEDIUM,7024.74,,0,WAIT,
209,KEI,Fresh Short Buildup,-25,28,VERY LOW,4876.0,4800.0,4900.0,0.43,0.62,LU,MEDIUM,4776.0,4900.0,0,WAIT,
210,AUROPHARMA,Fresh Short Buildup,-5,34,VERY LOW,1533.4,,1600.0,0.5,,,MEDIUM,1487.4,1600.0,0,WAIT,
211,CROMPTON,Fresh Short Buildup,-15,34,VERY LOW,253.85,,,0.42,,,MEDIUM,246.23,,0,WAIT,
212,JUBLFOOD,Fresh Short Buildup,5,33,VERY LOW,419.0,,,0.64,,,MEDIUM,406.43,,0,WAIT,
213,DELHIVERY,Fresh Short Buildup,-10,33,VERY LOW,492.2,,,0.56,,,MEDIUM,477.43,,0,WAIT,
214,COCHINSHIP,Fresh Short Buildup,25,32,VERY LOW,1404.5,1400.0,1400.0,0.58,0.68,SC,MEDIUM,1393.0,1400.0,0,WAIT,
215,BHARTIARTL,Fresh Short Buildup,5,33,VERY LOW,1891.1,,2000.0,0.43,,,MEDIUM,1834.37,2000.0,0,WAIT,
216,VMM,Fresh Short Buildup,0,38,VERY LOW,110.74,110.0,110.0,0.39,0.54,SB,MEDIUM,109.45,110.0,0,WAIT,
217,GLENMARK,Fresh Short Buildup,-5,36,VERY LOW,2237.7,2200.0,,0.6,0.95,LU,MEDIUM,2189.0,,0,WAIT,
218,SENSEX50,No Clear Pattern,0,50,LOW,0.0,,,,,,MEDIUM,0.0,,0,WAIT,
219,BANKEX,No Clear Pattern,30,51,LOW,65723.75,64500.0,64900.0,1.33,1.02,SB,MEDIUM,64177.5,64900.0,0,WAIT,
